code,company,actual,predicted,minimum,maximum,min,max,suggest
532922,EDELWEISS FINANCIAL SERVICES LTD,-0.6509345363284432,2.986979476056388,-3.0189784071829098,-0.6509345363284432,2.3680438708544664,0.0,
500294,NCC LTD,-0.0511473725984546,0.6435813549484688,-0.0866809216811473,-0.0511473725984546,0.0355335490826927,0.0,
500165,KANSAI NEROLAC PAINTS LTD,-0.0515257207594282,1.3925544634349831,-0.1259329930844532,-0.0515257207594282,0.07440727232502499,0.0,
532652,KARNATAKA BANK LTD,-0.0522138517695607,0.988748885301135,-0.1065665258206063,-0.0522138517695607,0.0543526740510456,0.0,
532548,CENTURY PLYBOARDS INDIA LTD,-0.0552487743136504,1.8793709870501216,-0.1621341448919657,-0.0552487743136504,0.1068853705783153,0.0,
511218,SHRIRAM TRANSPORT FINANCE CO LTD,-0.0565112424707616,0.4602062677217631,-0.0857115909781396,-0.0565112424707616,0.029200348507378,0.0,
533398,MUTHOOT FINANCE LTD,-0.0651807491037264,1.0480865383551314,-0.1377443448529682,-0.0651807491037264,0.07256359574924179,0.0,
532515,TV TODAY NETWORK LTD,-0.079862247425793,6.967095392945139,-0.6426481221001791,-0.079862247425793,0.5627858746743861,0.0,
500040,CENTURY TEXTILES  INDS LTD,-0.0466724408557042,2.0751857214427893,-0.145704740439774,-0.0466724408557042,0.0990322995840698,0.0,
533151,DB CORPORATION LTD,-0.5879108303454763,0.449861969681135,-1.1980286989190714,-0.5879108303454763,0.6101178685735951,0.0,
500330,RAYMOND LTD,-0.0903723807546997,0.4760926371173184,-0.1415651730340475,-0.0903723807546997,0.05119279227934781,0.0,
500260,THE RAMCO CEMENTS LTD,-0.0927147183452626,0.8906576623056973,-0.1838878116458266,-0.0927147183452626,0.091173093300564,0.0,
503806,SRF LTD,-0.0928108530370335,0.4936759693304369,-0.1472431953159376,-0.0928108530370335,0.0544323422789041,0.0,
520057,JTEKT INDIA LTD,-0.0952498335918823,12.567541965418496,-1.3013786452562734,-0.0952498335918823,1.2061288116643911,0.0,
533519,LT FINANCE HOLDINGS LTD,-0.1073839941584064,1.2655425121442263,-0.2548143260911297,-0.1073839941584064,0.1474303319327233,0.0,
500144,FINOLEX CABLES LTD,-0.108260012899343,1.096241722759765,-0.2386593863390793,-0.108260012899343,0.1303993734397363,0.0,
532500,MARUTI SUZUKI INDIA LTD,-0.1165467179848256,2.375391657777079,-0.406973957100313,-0.1165467179848256,0.2904272391154874,0.0,
533023,WABCO INDIA LTD,-0.0854356412167011,2.321262900270739,-0.2910534743239801,-0.0854356412167011,0.205617833107279,0.0,
532309,GE POWER INDIA LTD,-0.1262149644741764,1.073038184281,-0.2775786580398552,-0.1262149644741764,0.1513636935656788,0.0,
532822,VODAFONE IDEA LTD,-0.0382655000380076,0.0926450405228598,-0.043274857332815,-0.0382655000380076,0.0050093572948074,0.0,
532702,GUJARAT STATE PETRONET LTD,-0.0246493068163968,0.7833014927950576,-0.0445647339685728,-0.0246493068163968,0.019915427152176,0.0,
500002,ABB INDIA LTD,-0.0002617816990696,0.1946573957786492,-0.0003128079725309,-0.0002617816990696,5.1026273461300014e-05,0.0,
505790,SCHAEFFLER INDIA LTD,-0.0009054922963453,0.286952969133918,-0.0011661459156082,-0.0009054922963453,0.0002606536192629001,0.0,
532149,BANK OF INDIA,-0.0020044149809767,1.3602988278183354,-0.0047350360094769,-0.0020044149809767,0.0027306210285002,0.0,
505355,NESCO LTD,-0.0065817901178117,1.4484804919072776,-0.0161587046664452,-0.0065817901178117,0.0095769145486335,0.0,
520111,RATNAMANI METALS  TUBES LTD,-0.0076787004270717,1.3864358827068406,-0.018383688671969,-0.0076787004270717,0.010704988244897299,0.0,
500875,ITC LTD,-0.0088281966244007,0.4854896539964968,-0.0131921318046331,-0.0088281966244007,0.004363935180232401,0.0,
500033,FORCE MOTORS LTD,-0.0099800144717369,7.0206376258700365,-0.0801456802675968,-0.0099800144717369,0.07016566579585991,0.0,
532898,POWER GRID CORPORATION OF INDIA LTD,-0.0349861002907114,0.3922251655685836,-0.0499325564833865,-0.0349861002907114,0.014946456192675102,0.0,
507815,GILLETTE INDIA LTD,-0.0105573822510565,0.8721124557481096,-0.0198760651322918,-0.0105573822510565,0.0093186828812353,0.0,
501425,BOMBAY BURMAH TRDG CORPN LTD,-0.0140867417325121,3.842954162846967,-0.0684198808070582,-0.0140867417325121,0.0543331390745461,0.0,
500575,VOLTAS LTD,-0.0141316160633276,1.497507760361639,-0.0354935233571732,-0.0141316160633276,0.0213619072938456,0.0,
534309,NBCC INDIA LTD,-0.0164659134732979,101.59387500684724,-1.6895729950595986,-0.0164659134732979,1.6731070815863007,0.0,
522113,TIMKEN INDIA LTD,-0.0166166152133497,0.7149049910509443,-0.0287720282648949,-0.0166166152133497,0.012155413051545199,0.0,
500008,AMARA RAJA BATTERIES LTD,-0.0170344684562695,4.331641418011789,-0.0911118506708495,-0.0170344684562695,0.07407738221457999,0.0,
532800,TV BROADCAST LTD,-0.0212756380440816,0.3542925812656823,-0.0292660915389765,-0.0212756380440816,0.007990453494894901,0.0,
532714,KEC INTERNATIONAL LTD,0.0320492201630317,0.0020132699942249,0.0310865913832657,0.0320492201630317,0.0009626287797660019,0.0,buy
500408,TATA ELXSI LTD,-0.0134257055214723,1.8242728138302684,-0.0380981046795345,-0.0134257055214723,0.0246723991580622,0.0,
532221,SONATA SOFTWARE LTD,-0.1456538074952841,2.2027496926453813,-0.487707718826024,-0.1456538074952841,0.3420539113307399,0.0,
