code,company,actual,predicted,minimum,maximum,min,max,suggest
533179,PERSISTENT SYSTEMS LTD,0.0145500062586055,0.1158446075686008,0.0145500062586055,0.0160238433416289,0.0,0.001473837083023401,buy
533023,WABCO INDIA LTD,0.0218594947675885,0.1007314392229785,0.0218594947675885,0.0235835956247207,0.0,0.0017241008571322013,buy
503806,SRF LTD,0.0218104614263691,0.1618996290340153,0.0218104614263691,0.0248658708127278,0.0,0.0030554093863587005,buy
517354,HAVELLS INDIA LTD,0.0175653278764323,0.1211609045700295,0.0175653278764323,0.0193850181476034,0.0,0.0018196902711710983,buy
532790,TANLA PLATFORMS LTD,0.0168618159915968,0.3712664187917924,0.0168618159915968,0.0228377211905887,0.0,0.0059759051989918995,buy
542867,CSB BANK LTD,0.0155019825020416,2.514559464223292,0.0155019825020416,0.0542423278552808,0.0,0.0387403453532392,buy
532843,FORTIS HEALTHCARE LTD,0.0832497246134659,0.2743600359895228,0.0832497246134659,0.0991596054063164,0.0,0.015909880792850495,buy
500411,THERMAX LTD,0.0889512165861868,2.3919271891291976,0.0889512165861868,0.2938037311126444,0.0,0.2048525145264576,buy
500106,IFCI LTD,0.013559862833665,0.2945462339734753,0.013559862833665,0.0173699994844502,0.0,0.0038101366507851987,buy
532509,SUPRAJIT ENGINEERING LTD,0.0133039744968735,0.0813549994933798,0.0133039744968735,0.0142093235979131,0.0,0.0009053491010396,buy
500003,AEGIS LOGISTICS LTD,0.0990900291713324,0.6056519694115188,0.0990900291713324,0.1492852666068192,0.0,0.0501952374354868,buy
533271,ASHOKA BUILDCON LTD,0.0131651351528829,0.1301100058767451,0.0131651351528829,0.014704730181399,0.0,0.0015395950285160987,buy
542066,ADANI TOTAL GAS LTD,0.1022249982983188,0.1934987767710483,0.1022249982983188,0.1115554601473747,0.0,0.009330461849055907,buy
519600,CCL PRODUCTS INDIA LTD,0.0112179863131381,0.1255044565036549,0.0112179863131381,0.0125000503715122,0.0,0.0012820640583741001,buy
532880,OMAXE LTD,0.1055467300435715,0.1700234265039138,0.1055467300435715,0.1123520345189726,0.0,0.0068053044754011055,buy
500171,GHCL LTD,0.0109873691554154,0.0971325535283238,0.0109873691554154,0.0119338780970819,0.0,0.0009465089416665004,buy
540005,LARSEN  TOUBRO INFOTECH LTD,0.1070018596748523,0.5177452119615301,0.1070018596748523,0.1509521622186099,0.0,0.043950302543757605,buy
506076,GRINDWELL NORTON LTD,0.0101693606037972,0.5093954122295264,0.0101693606037972,0.0152461703455892,0.0,0.005076809741791999,buy
540750,INDIAN ENERGY EXCHANGE LTD,0.0693112877040074,0.1204574655683983,0.0693112877040074,0.0728562951529265,0.0,0.003545007448919113,buy
539254,ADANI TRANSMISSION LTD,0.1093079538264364,0.40041230125911,0.1093079538264364,0.141127974394282,0.0,0.03182002056784561,buy
500570,TATA MOTORS LTD,0.021917682472756,0.1661197586154816,0.021917682472756,0.0250782577895644,0.0,0.0031605753168084012,buy
509557,GARWARE TECHNICAL FIBRES LTD,0.0221950440035076,0.1622222297499537,0.0221950440035076,0.0253029535528374,0.0,0.0031079095493297994,buy
517506,TTK PRESTIGE LTD,0.0384798697570528,0.1018832196691571,0.0384798697570528,0.0409196224038315,0.0,0.0024397526467786965,buy
532779,TORRENT POWER LTD,0.0417023646753878,0.1617945620492648,0.0417023646753878,0.0467104932849419,0.0,0.005008128609554102,buy
511243,CHOLAMANDALAM INVESTMENT  FINANCE CO LTD,0.0378670203778373,0.2379373477396877,0.0378670203778373,0.045443087541049,0.0,0.0075760671632117,buy
541540,SOLARA ACTIVE PHARMA SCIENCES LTD,0.0475153486221104,0.2656894346007425,0.0475153486221104,0.0578819663776954,0.0,0.010366617755585006,buy
506820,ASTRAZENECA PHARMA INDIA LTD,0.0477509922462373,0.3148958216432812,0.0477509922462373,0.0605074229233979,0.0,0.012756430677160598,buy
532898,POWER GRID CORPORATION OF INDIA LTD,0.04869234574594,0.2095527231650326,0.04869234574594,0.0565250148600529,0.0,0.0078326691141129,buy
541556,RITES LTD,0.0493448745369896,0.2970592212147493,0.0493448745369896,0.061568307894816,0.0,0.0122234333578264,buy
500696,HINDUSTAN UNILEVER LTD,0.034080394095351,0.1369318366407503,0.034080394095351,0.0375856117905736,0.0,0.0035052176952225997,buy
500233,KAJARIA CERAMICS LTD,0.0339796424714472,0.1267941769261509,0.0339796424714472,0.0371334471683718,0.0,0.0031538046969246045,buy
542649,RAIL VIKAS NIGAM LTD,0.0307405963632936,0.1547126678034569,0.0307405963632936,0.0345515717717571,0.0,0.0038109754084635003,buy
541988,AAVAS FINANCIERS LTD,0.0549679806202053,0.1439942075295648,0.0549679806202053,0.059861572535649,0.0,0.004893591915443696,buy
500878,CEAT LTD,0.0278494374330668,0.6546326853696397,0.0278494374330668,0.0453049982805708,0.0,0.017455560847504003,buy
541956,IRCON INTERNATIONAL LTD,0.056373168743028,0.1463332298877222,0.056373168743028,0.061444502450071,0.0,0.005071333707042998,buy
500020,BOMBAY DYEING  MFG CO LTD,0.0277126708914886,0.2342559835883747,0.0277126708914886,0.0334365377410953,0.0,0.0057238668496066986,buy
532540,TATA CONSULTANCY SERVICES LTD,0.0578421630458299,0.2371169757974597,0.0578421630458299,0.0682118059950203,0.0,0.010369642949190405,buy
542920,SUMITOMO CHEMICAL INDIA PVT LTD,0.0580159226799241,0.1301223840174588,0.0580159226799241,0.0621992455656054,0.0,0.004183322885681302,buy
