company,code,average_return_percent,simulation_result
DEEPAK FERTILISERS  PETROCHEMICALS CORPN LTD,500645,0.5757757929978327,"[{'investment': 99971.9, 'shares': 542, 'entry': True, 'exit': False, 'date': '26-02-2021', 'close': 184.45}, {'investment': 157533.30000000002, 'shares': 542, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 290.6}]"
VENKYS INDIA LTD,523261,0.47114473587595285,"[{'investment': 98736.75, 'shares': 63, 'entry': True, 'exit': False, 'date': '05-04-2021', 'close': 1567.25}, {'investment': 145256.05, 'shares': 63, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 2285.6}]"
GRINDWELL NORTON LTD,506076,0.42235380234237124,"[{'investment': 99728.0, 'shares': 115, 'entry': True, 'exit': False, 'date': '12-04-2021', 'close': 867.2}, {'investment': 141848.5, 'shares': 115, 'entry': False, 'exit': True, 'date': '18-05-2021', 'close': 1231.1}]"
FINE ORGANIC INDUSTRIES LTD,541557,0.39694150901520403,"[{'investment': 99800.84999999999, 'shares': 43, 'entry': True, 'exit': False, 'date': '15-03-2021', 'close': 2320.95}, {'investment': 139415.95, 'shares': 43, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 3237.6}]"
BIRLA CORPORATION LTD,500335,0.3359838568117203,"[{'investment': 99980.25, 'shares': 109, 'entry': True, 'exit': False, 'date': '04-05-2021', 'close': 917.25}, {'investment': 133572.0, 'shares': 109, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 1225.25}]"
AARTI INDUSTRIES LTD,524208,0.32346458988296733,"[{'investment': 99480.75, 'shares': 79, 'entry': True, 'exit': False, 'date': '05-03-2021', 'close': 1259.25}, {'investment': 131659.25, 'shares': 79, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 1660.0}]"
CARE RATINGS LTD,534804,0.31928076843897024,"[{'investment': 99578.5, 'shares': 230, 'entry': True, 'exit': False, 'date': '24-03-2021', 'close': 432.95}, {'investment': 131372.0, 'shares': 230, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 569.35}]"
BALKRISHNA INDUSTRIES LTD,502355,0.3103214363442949,"[{'investment': 98327.4, 'shares': 58, 'entry': True, 'exit': False, 'date': '23-04-2021', 'close': 1695.3}, {'investment': 128840.50000000001, 'shares': 58, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 2192.55}]"
TV BROADCAST LTD,532800,0.29030507762589,"[{'investment': 99982.75000000001, 'shares': 2945, 'entry': True, 'exit': False, 'date': '30-04-2021', 'close': 33.95}, {'investment': 129008.24999999997, 'shares': 2945, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 43.8}]"
GMM PFAUDLER LTD,505255,0.2757295715880658,"[{'investment': 98167.20000000001, 'shares': 24, 'entry': True, 'exit': False, 'date': '15-04-2021', 'close': 4090.3}, {'investment': 125234.79999999999, 'shares': 24, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 5141.75}]"
GUJARAT STATE FERTILIZERS  CHEMICALS LTD,500690,0.26382168779352333,"[{'investment': 99928.1, 'shares': 1058, 'entry': True, 'exit': False, 'date': '30-04-2021', 'close': 94.45}, {'investment': 126291.29999999999, 'shares': 1058, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 119.3}]"
MMTC LTD,513377,0.246294912837068,"[{'investment': 99990.90000000001, 'shares': 2169, 'entry': True, 'exit': False, 'date': '07-05-2021', 'close': 46.1}, {'investment': 124618.15, 'shares': 2169, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 57.45}]"
CSB BANK LTD,542867,0.2344871735789551,"[{'investment': 99817.40000000001, 'shares': 389, 'entry': True, 'exit': False, 'date': '22-04-2021', 'close': 256.6}, {'investment': 123223.3, 'shares': 389, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 316.3}]"
LEMON TREE HOTELS LTD,541233,0.1969074660547484,"[{'investment': 99969.8, 'shares': 2828, 'entry': True, 'exit': False, 'date': '07-05-2021', 'close': 35.35}, {'investment': 119654.59999999999, 'shares': 2828, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 42.3}]"
CONTAINER CORPN OF INDIA LTD,531344,0.19478447926374282,"[{'investment': 99899.90000000001, 'shares': 179, 'entry': True, 'exit': False, 'date': '26-02-2021', 'close': 558.1}, {'investment': 119358.84999999999, 'shares': 179, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 666.25}]"
BANK OF BARODA,532134,0.18231542388886238,"[{'investment': 99969.59999999999, 'shares': 1416, 'entry': True, 'exit': False, 'date': '06-05-2021', 'close': 70.6}, {'investment': 118195.6, 'shares': 1416, 'entry': False, 'exit': True, 'date': '27-05-2021', 'close': 83.45}]"
