company,code,average_return_percent,simulation_result
MINDA CORPORATION LTD,538962,0.8547759518015641,"[{'investment': 99961.75, 'shares': 1673, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 59.75}, {'investment': 185406.65, 'shares': 1673, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 110.8}]"
GRINDWELL NORTON LTD,506076,0.8458991094106677,"[{'investment': 99529.59999999999, 'shares': 152, 'entry': True, 'exit': False, 'date': '18-12-2020', 'close': 654.8}, {'investment': 183721.59999999998, 'shares': 152, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1205.6}]"
ALLCARGO LOGISTICS LTD,532749,0.8142203900301175,"[{'investment': 99941.00000000001, 'shares': 1390, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 71.9}, {'investment': 181315.0, 'shares': 1390, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 130.4}]"
LIC HOUSING FINANCE LTD,500253,0.7939608274767015,"[{'investment': 99758.7, 'shares': 398, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 250.65}, {'investment': 178963.2, 'shares': 398, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 449.05}]"
BALKRISHNA INDUSTRIES LTD,502355,0.7194422468354432,"[{'investment': 99603.2, 'shares': 79, 'entry': True, 'exit': False, 'date': '30-06-2020', 'close': 1260.8}, {'investment': 171261.95, 'shares': 79, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 2162.85}]"
TTK PRESTIGE LTD,517506,0.7175259423321438,"[{'investment': 97524.0, 'shares': 20, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 4876.2}, {'investment': 167500.0, 'shares': 20, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 8251.2}]"
GODREJ PROPERTIES LTD,533150,0.710023134556805,"[{'investment': 99634.5, 'shares': 126, 'entry': True, 'exit': False, 'date': '04-06-2020', 'close': 790.75}, {'investment': 170377.3, 'shares': 126, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1349.3}]"
KPIT TECHNOLOGIES LTD,542651,0.7093164552404495,"[{'investment': 99987.6, 'shares': 859, 'entry': True, 'exit': False, 'date': '14-10-2020', 'close': 116.4}, {'investment': 170910.44999999998, 'shares': 859, 'entry': False, 'exit': True, 'date': '07-04-2021', 'close': 198.95}]"
FINOLEX INDUSTRIES LTD,500940,0.7076717332428437,"[{'investment': 99959.68, 'shares': 998, 'entry': True, 'exit': False, 'date': '09-09-2020', 'close': 100.16}, {'investment': 170698.32, 'shares': 998, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 171.0}]"
VMART RETAIL LTD,534976,0.7016506077976989,"[{'investment': 98388.0, 'shares': 60, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 1639.8}, {'investment': 167422.0, 'shares': 60, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 2763.5}]"
SUNTECK REALTY LTD,512179,0.6911838249267361,"[{'investment': 99981.0, 'shares': 621, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 161.0}, {'investment': 169086.25, 'shares': 621, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 272.25}]"
DIXON TECHNOLOGIES INDIA LTD,540699,0.6608108787538522,"[{'investment': 99049.58, 'shares': 98, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 1010.71}, {'investment': 164502.62, 'shares': 98, 'entry': False, 'exit': True, 'date': '26-08-2020', 'close': 1668.9}]"
SHRIRAM CITY UNION FINANCE LTD,532498,0.64874687680797,"[{'investment': 99548.75, 'shares': 155, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 642.25}, {'investment': 151460.0, 'shares': 155, 'entry': False, 'exit': True, 'date': '19-08-2020', 'close': 974.25}, {'investment': 150859.80000000002, 'shares': 189, 'entry': True, 'exit': False, 'date': '27-10-2020', 'close': 798.2}, {'investment': 267931.25, 'shares': 189, 'entry': False, 'exit': True, 'date': '04-02-2021', 'close': 1414.45}]"
WELSPUN INDIA LTD,514162,0.6344262377054508,"[{'investment': 99993.5, 'shares': 1762, 'entry': True, 'exit': False, 'date': '11-09-2020', 'close': 56.75}, {'investment': 163432.0, 'shares': 1762, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 92.75}]"
VARUN BEVERAGES LTD,540180,0.6321737736453992,"[{'investment': 99808.0, 'shares': 160, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 623.8}, {'investment': 162904.0, 'shares': 160, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1016.95}]"
PAGE INDUSTRIES LTD,532827,0.6294678445141378,"[{'investment': 80033.0, 'shares': 4, 'entry': True, 'exit': False, 'date': '03-06-2020', 'close': 20008.25}, {'investment': 130411.2, 'shares': 4, 'entry': False, 'exit': True, 'date': '23-12-2020', 'close': 27611.05}]"
OBEROI REALTY LTD,533273,0.6184164152892923,"[{'investment': 99733.85, 'shares': 277, 'entry': True, 'exit': False, 'date': '01-07-2020', 'close': 360.05}, {'investment': 161410.9, 'shares': 277, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 581.75}]"
WESTLIFE DEVELOPMENT LTD,505533,0.61453433984162,"[{'investment': 99949.5, 'shares': 342, 'entry': True, 'exit': False, 'date': '15-06-2020', 'close': 292.25}, {'investment': 161371.9, 'shares': 342, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 471.7}]"
LARSEN  TOUBRO LTD,500510,0.5938473730025712,"[{'investment': 99312.05, 'shares': 107, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 928.15}, {'investment': 158288.25, 'shares': 107, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1472.9}]"
EICHER MOTORS LTD,505200,0.5680081653910448,"[{'investment': 98385.98, 'shares': 58, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 1696.31}, {'investment': 154270.02000000002, 'shares': 58, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 2632.0}]"
PTC INDIA LTD,532524,0.549241156916257,"[{'investment': 99977.84999999999, 'shares': 1867, 'entry': True, 'exit': False, 'date': '06-08-2020', 'close': 53.55}, {'investment': 154889.8, 'shares': 1867, 'entry': False, 'exit': True, 'date': '12-04-2021', 'close': 82.95}]"
BAJAJ AUTO LTD,532977,0.5186259871158582,"[{'investment': 99253.8, 'shares': 36, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 2757.05}, {'investment': 150729.39999999997, 'shares': 36, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 4166.2}]"
CEAT LTD,500878,0.5085994901408873,"[{'investment': 99831.5, 'shares': 115, 'entry': True, 'exit': False, 'date': '21-08-2020', 'close': 868.1}, {'investment': 150605.75, 'shares': 115, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1308.15}]"
JTEKT INDIA LTD,520057,0.5009616135094193,"[{'investment': 99936.2, 'shares': 1292, 'entry': True, 'exit': False, 'date': '21-08-2020', 'close': 77.35}, {'investment': 150000.40000000002, 'shares': 1292, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 116.05}]"
FORCE MOTORS LTD,500033,0.4835026788108786,"[{'investment': 99185.79999999999, 'shares': 116, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 855.05}, {'investment': 147142.40000000002, 'shares': 116, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1261.45}]"
JINDAL STAINLESS HISAR LTD,539597,0.47293547293547294,"[{'investment': 99999.9, 'shares': 814, 'entry': True, 'exit': False, 'date': '01-03-2021', 'close': 122.85}, {'investment': 147293.4, 'shares': 814, 'entry': False, 'exit': True, 'date': '07-05-2021', 'close': 180.95}]"
REC LTD,532955,0.46049793294993896,"[{'investment': 99949.2, 'shares': 1032, 'entry': True, 'exit': False, 'date': '09-06-2020', 'close': 96.85}, {'investment': 145975.60000000003, 'shares': 1032, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 141.4}]"
SHEELA FOAM LTD,540203,0.4538232303614104,"[{'investment': 99629.1, 'shares': 69, 'entry': True, 'exit': False, 'date': '01-07-2020', 'close': 1443.9}, {'investment': 144843.1, 'shares': 69, 'entry': False, 'exit': True, 'date': '25-05-2021', 'close': 2093.8}]"
RBL BANK LTD,540065,0.44320841150424595,"[{'investment': 99883.05, 'shares': 771, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 129.55}, {'investment': 162489.55, 'shares': 771, 'entry': False, 'exit': True, 'date': '28-08-2020', 'close': 210.6}, {'investment': 162421.80000000002, 'shares': 842, 'entry': True, 'exit': False, 'date': '03-09-2020', 'close': 192.9}, {'investment': 204589.55, 'shares': 842, 'entry': False, 'exit': True, 'date': '07-12-2020', 'close': 242.9}, {'investment': 204354.7, 'shares': 814, 'entry': True, 'exit': False, 'date': '05-02-2021', 'close': 251.05}]"
DISH TV INDIA LTD,532839,0.4398985130988902,"[{'investment': 99993.20000000001, 'shares': 8474, 'entry': True, 'exit': False, 'date': '02-11-2020', 'close': 11.8}, {'investment': 143980.05999999997, 'shares': 8474, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 16.99}]"
TVS SRICHAKRA LTD,509243,0.4292954129786026,"[{'investment': 99538.45, 'shares': 71, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 1401.95}, {'investment': 142269.84999999998, 'shares': 71, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1997.3}]"
SHOPPERS STOP LTD,532638,0.40932836866093936,"[{'investment': 99959.59999999999, 'shares': 611, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 163.6}, {'investment': 140875.90000000002, 'shares': 611, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 230.5}]"
RAYMOND LTD,500330,0.3944092421915002,"[{'investment': 99993.6, 'shares': 372, 'entry': True, 'exit': False, 'date': '10-09-2020', 'close': 268.8}, {'investment': 139432.0, 'shares': 372, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 374.8}]"
CENTURY TEXTILES  INDS LTD,500040,0.38810267812431143,"[{'investment': 99846.0, 'shares': 270, 'entry': True, 'exit': False, 'date': '18-09-2020', 'close': 369.8}, {'investment': 138596.5, 'shares': 270, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 512.75}]"
HINDUSTAN ZINC LTD,500188,0.3869620142337182,"[{'investment': 99938.75, 'shares': 425, 'entry': True, 'exit': False, 'date': '06-08-2020', 'close': 235.15}, {'investment': 138611.25, 'shares': 425, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 326.0}]"
ORACLE FINANCIAL SERVICES SOFTWARE LTD,532466,0.37891148626539134,"[{'investment': 98098.90000000001, 'shares': 38, 'entry': True, 'exit': False, 'date': '02-06-2020', 'close': 2581.55}, {'investment': 135269.7, 'shares': 38, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 3509.7}]"
JK LAKSHMI CEMENT LTD,500380,0.3615390013332933,"[{'investment': 99753.0, 'shares': 246, 'entry': True, 'exit': False, 'date': '03-05-2021', 'close': 405.5}, {'investment': 135817.6, 'shares': 246, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 551.1}]"
GODREJ INDUSTRIES LTD,500164,0.36035200320914607,"[{'investment': 99715.0, 'shares': 245, 'entry': True, 'exit': False, 'date': '01-07-2020', 'close': 407.0}, {'investment': 135647.5, 'shares': 245, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 552.5}]"
THYROCARE TECHNOLOGIES LTD,539871,0.34485437477132524,"[{'investment': 99759.49999999999, 'shares': 190, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 525.05}, {'investment': 134162.0, 'shares': 190, 'entry': False, 'exit': True, 'date': '13-08-2020', 'close': 704.85}]"
PUNJAB NATIONAL BANK,532461,0.34437011906286014,"[{'investment': 99980.8, 'shares': 3424, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 29.2}, {'investment': 134411.2, 'shares': 3424, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 39.25}]"
NATIONAL THERMAL POWER CORP LTD,532555,0.34299566938430837,"[{'investment': 99939.59999999999, 'shares': 1207, 'entry': True, 'exit': False, 'date': '07-10-2020', 'close': 82.8}, {'investment': 134218.45, 'shares': 1207, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 111.15}]"
UNION BANK OF INDIA,532477,0.33995162663805106,"[{'investment': 99993.05, 'shares': 3929, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 25.45}, {'investment': 133985.84999999998, 'shares': 3929, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 34.1}]"
AFFLE INDIA LTD,542752,0.3312868528240965,"[{'investment': 97598.84999999999, 'shares': 31, 'entry': True, 'exit': False, 'date': '20-11-2020', 'close': 3148.35}, {'investment': 160332.2, 'shares': 31, 'entry': False, 'exit': True, 'date': '11-02-2021', 'close': 5094.55}, {'investment': 159890.25, 'shares': 31, 'entry': True, 'exit': False, 'date': '14-05-2021', 'close': 5157.75}, {'investment': 163057.1, 'shares': 31, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 5245.65}]"
HEIDELBERG CEMENT INDIA LTD,500292,0.32762980284796267,"[{'investment': 99938.1, 'shares': 534, 'entry': True, 'exit': False, 'date': '05-10-2020', 'close': 187.15}, {'investment': 132680.8, 'shares': 534, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 248.35}]"
MOIL LTD,533286,0.32756973112700627,"[{'investment': 99885.45, 'shares': 753, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 132.65}, {'investment': 132604.90000000002, 'shares': 753, 'entry': False, 'exit': True, 'date': '07-05-2021', 'close': 175.95}]"
