code,company,actual,minimum,maximum,min,max,suggest
540750,INDIAN ENERGY EXCHANGE LTD,0.0310635365057074,0.0310635365057074,0.0393800594562126,0.0,0.008316522950505199,buy
542867,CSB BANK LTD,0.0536952897676732,0.0536952897676732,0.1060808620331943,0.0,0.0523855722655211,buy
517174,HONEYWELL AUTOMATION INDIA LTD,0.0502126336314127,0.0502126336314127,0.0528223435684914,0.0,0.002609709937078701,buy
521064,TRIDENT LTD,0.0501104790506111,0.0501104790506111,0.071192811604155,0.0,0.0210823325535439,buy
500033,FORCE MOTORS LTD,0.0437928945826938,0.0437928945826938,0.0634493676636366,0.0,0.019656473080942795,buy
541770,CREDITACCESS GRAMEEN LTD,0.0409913014515304,0.0409913014515304,0.0547504152135264,0.0,0.013759113761996004,buy
532488,DIVIS LABORATORIES LTD,0.040532248447301,0.040532248447301,0.0666939265863123,0.0,0.026161678139011303,buy
542650,METROPOLIS HEALTHCARE LTD,0.0600606355050641,0.0600606355050641,0.0807177076466391,0.0,0.020657072141575,buy
542920,SUMITOMO CHEMICAL INDIA PVT LTD,0.0402132640483845,0.0402132640483845,0.0440747265402085,0.0,0.0038614624918239943,buy
526299,MPHASIS LTD,0.0399305414557969,0.0399305414557969,0.0433843800782194,0.0,0.003453838622422503,buy
500182,HERO MOTOCORP LTD,0.0392502471800898,0.0392502471800898,0.0488575306848571,0.0,0.009607283504767299,buy
532810,POWER FINANCE CORPN LTD,0.0380967105365154,0.0380967105365154,0.0468906448921682,0.0,0.008793934355652802,buy
500680,PFIZER LTD,0.0380298277486364,0.0380298277486364,0.0407271224899531,0.0,0.0026972947413167053,buy
511243,CHOLAMANDALAM INVESTMENT  FINANCE CO LTD,0.0371265144135911,0.0371265144135911,0.0437122382170834,0.0,0.006585723803492302,buy
542904,UJJIVAN SMALL FINANCE BANK LTD,0.0360023938360388,0.0360023938360388,0.0430534482618918,0.0,0.007051054425853,buy
532509,SUPRAJIT ENGINEERING LTD,0.040026935131166,0.040026935131166,0.0442278314036867,0.0,0.004200896272520696,buy
541557,FINE ORGANIC INDUSTRIES LTD,0.0602582116205829,0.0602582116205829,0.0777081014302737,0.0,0.017449889809690797,buy
500530,BOSCH LTD,0.0636924730584975,0.0636924730584975,0.8320797784215124,0.0,0.7683873053630149,buy
500878,CEAT LTD,0.0637171042133731,0.0637171042133731,0.1072009618291173,0.0,0.043483857615744206,buy
532927,ECLERX SERVICES LTD,0.1035850682786509,0.1035850682786509,0.1232565075937704,0.0,0.0196714393151195,buy
532848,DELTA CORP LTD,0.0991246454279487,0.0991246454279487,0.2196584633503999,0.0,0.1205338179224512,buy
509966,VST INDUSTRIES LTD,0.0963806042302945,0.0963806042302945,0.1136426877864058,0.0,0.017262083556111293,buy
500547,BHARAT PETROLEUM CORPN LTD,0.0814884166252275,0.0814884166252275,0.0913235763142416,0.0,0.009835159689014092,buy
500133,ESAB INDIA LTD,0.0814796253605514,0.0814796253605514,0.1139800403835596,0.0,0.03250041502300821,buy
532454,BHARTI AIRTEL LTD,0.080985741427845,0.080985741427845,0.0937927082804492,0.0,0.012806966852604199,buy
541700,TCNS CLOTHING CO LTD,0.079798371705886,0.079798371705886,0.0985840653938878,0.0,0.0187856936880018,buy
500292,HEIDELBERG CEMENT INDIA LTD,0.0774647232736531,0.0774647232736531,0.2351913109853954,0.0,0.1577265877117423,buy
532178,ENGINEERS INDIA LTD,0.0752726865318472,0.0752726865318472,0.0864937127474872,0.0,0.011221026215640001,buy
500510,LARSEN  TOUBRO LTD,0.0748252934892574,0.0748252934892574,0.0886012131617149,0.0,0.013775919672457504,buy
532644,JK CEMENT LTD,0.072328099918489,0.072328099918489,0.0895360604878873,0.0,0.0172079605693983,buy
500408,TATA ELXSI LTD,0.0669573070554579,0.0669573070554579,0.1263948686159896,0.0,0.05943756156053169,buy
532174,ICICI BANK LTD,0.0660246562797228,0.0660246562797228,0.0695159732376665,0.0,0.0034913169579437048,buy
500459,PROCTER  GAMBLE HYGIENE  HEALTH CARE LTD,0.065750411665761,0.065750411665761,0.0704678981176805,0.0,0.004717486451919509,buy
533023,WABCO INDIA LTD,0.0655637906881086,0.0655637906881086,0.0891422473976585,0.0,0.023578456709549903,buy
500575,VOLTAS LTD,0.0344812510849072,0.0344812510849072,0.0373810392553799,0.0,0.0028997881704727058,buy
533151,DB CORPORATION LTD,0.1237180618590309,0.1237180618590309,0.1384020028249862,0.0,0.01468394096595528,buy
532977,BAJAJ AUTO LTD,0.0328588943287848,0.0328588943287848,0.0395202408917004,0.0,0.0066613465629156016,buy
500550,SIEMENS LTD,0.0309913598300752,0.0309913598300752,0.0423730783279661,0.0,0.011381718497890901,buy
519600,CCL PRODUCTS INDIA LTD,0.009238222184819,0.009238222184819,0.0127373406938096,0.0,0.0034991185089906004,buy
532541,COFORGE LTD,0.0072483483658049,0.0072483483658049,0.0081613135119597,0.0,0.0009129651461548,buy
532805,REDINGTON INDIA LTD,0.0068008419826268,0.0068008419826268,0.0099009038065896,0.0,0.0031000618239627993,buy
500674,SANOFI INDIA LTD,0.0060409783403224,0.0060409783403224,0.0074673369195895,0.0,0.0014263585792670995,buy
532482,GRANULES INDIA LTD,0.0059434211963557,0.0059434211963557,0.0075863796427497,0.0,0.0016429584463939998,buy
517354,HAVELLS INDIA LTD,0.0052827618543008,0.0052827618543008,0.0062947959976837,0.0,0.0010120341433829004,buy
532889,KPR MILLS LTD,0.0100520901683165,0.0100520901683165,0.0129149542292136,0.0,0.0028628640608971013,buy
