code,company,actual,minimum,maximum,min,max
541450,ADANI GREEN ENERGY LTD,0.3388153864845982,0.3284441708457705,0.6868517283971979,0.010371215638827702,0.3480363419125997
500233,KAJARIA CERAMICS LTD,0.0822900152424001,0.0822900152424001,0.4020174363598041,0.0,0.319727421117404
521070,ALOK INDUSTRIES LTD,0.5080669008479898,0.0593091369504212,0.6606995133855431,0.4487577638975686,0.15263261253755334
500106,IFCI LTD,0.4505056749905137,0.3816506636881698,0.5619435793947152,0.0688550113023439,0.11143790440420148
542752,AFFLE INDIA LTD,0.2255387477187772,0.2083718019672879,0.3230813410789966,0.017166945751489276,0.09754259336021942
530813,KRBL LTD,0.27669350799979,0.1636764457605612,0.3730119457646424,0.11301706223922878,0.09631843776485244
540153,ENDURANCE TECHNOLOGIES LTD,0.2503932114185124,0.2121388693414066,0.3356074698234931,0.03825434207710579,0.0852142584049807
500251,TRENT LTD,0.1625215307215468,0.1625215307215468,0.2447588986984978,0.0,0.082237367976951
500294,NCC LTD,0.2030337945850152,0.2030337945850152,0.2848371691779884,0.0,0.08180337459297321
512179,SUNTECK REALTY LTD,0.1499576259447149,0.123846214556547,0.222262910685653,0.0261114113881679,0.07230528474093809
532848,DELTA CORP LTD,0.146148820858935,0.1376968601082186,0.2180504291274486,0.008451960750716386,0.0719016082685136
511243,CHOLAMANDALAM INVESTMENT  FINANCE CO LTD,0.1026125859459191,0.1026125859459191,0.165904644385722,0.0,0.0632920584398029
500878,CEAT LTD,0.0745672187628648,0.0745672187628648,0.1345260108391014,0.0,0.0599587920762366
540222,LAURUS LABS LTD,0.2157758129051238,0.2005592843038645,0.2750648452250932,0.0152165286012593,0.05928903231996943
535754,ORIENT CEMENT LTD,0.6711349195976319,0.3101908281306146,0.7249279752191339,0.36094409146701734,0.05379305562150194
542651,KPIT TECHNOLOGIES LTD,0.1916024315598374,0.1916024315598374,0.239241651232871,0.0,0.04763921967303361
532144,WELSPUN CORP LTD,0.1841505837467226,0.1701102183713546,0.2264049082411691,0.014040365375368014,0.042254324494446494
534076,ORIENT REFRACTORIES LIMITED,0.1301084217587604,0.1171906902076273,0.1721828142712456,0.012917731551133085,0.04207439251248521
524804,AUROBINDO PHARMA LTD,0.1661224590348131,0.1661224590348131,0.2074964862217355,0.0,0.0413740271869224
521064,TRIDENT LTD,0.0887289356962479,0.0774093514812552,0.1254283344439721,0.011319584214992698,0.03669939874772421
500048,BEML LTD,0.0825720960355903,0.0825720960355903,0.1190714965646896,0.0,0.03649940052909929
509243,TVS SRICHAKRA LTD,0.0916091053695625,0.0892339897560624,0.1277105031837127,0.002375115613500095,0.036101397814150185
540065,RBL BANK LTD,0.1660516312601769,0.1279072599039137,0.2019889086046391,0.038144371356263224,0.0359372773444622
517334,MOTHERSON SUMI SYSTEMS LTD,0.3131388376131858,0.2295276150366862,0.3486191592296057,0.08361122257649958,0.035480321616419896
540762,TUBE INVESTMENTS OF INDIA LTD,0.2992611522119981,0.2269159511078412,0.3343546060843009,0.0723452011041569,0.03509345387230278
540203,SHEELA FOAM LTD,0.1305797371327201,0.1106643832046722,0.1652455094124573,0.019915353928047885,0.03466577227973722
505726,IFB INDUSTRIES LTD,0.1441798819686421,0.1265316752408334,0.1759455820728494,0.017648206727808702,0.03176570010420732
530007,JK TYRE  INDUSTRIES LTD,0.1979392659345229,0.1882488665580411,0.2294558674767797,0.009690399376481806,0.0315166015422568
506820,ASTRAZENECA PHARMA INDIA LTD,0.1075487876323545,0.1075487876323545,0.1386498769868828,0.0,0.031101089354528308
506767,ALKYL AMINES CHEMICALS LTD,0.1169668325402151,0.1038909697569748,0.1474133449367275,0.0130758627832403,0.0304465123965124
532892,MOTILAL OSWAL FINANCIAL SERVICES LTD,0.0444097048676819,0.0444097048676819,0.0747990698828185,0.0,0.030389365015136595
512573,AVANTI FEEDS LTD,0.0603973175638084,0.0563414027683056,0.0906381099570885,0.004055914795502803,0.0302407923932801
535648,JUST DIAL LTD,0.1162915910899179,0.1107920728487878,0.1456040927775201,0.005499518241130111,0.029312501687602188
541233,LEMON TREE HOTELS LTD,0.2447328004480528,0.2070144702853726,0.2732703931019073,0.0377183301626802,0.028537592653854527
519091,TASTY BITE EATABLES LTD,0.1024528260589505,0.0728571982062253,0.130739202622272,0.029595627852725195,0.028286376563321516
540611,AU SMALL FINANCE BANK LTD,0.4735350683207925,0.3019336707522001,0.5010038736099938,0.17160139756859238,0.02746880528920126
509557,GARWARE TECHNICAL FIBRES LTD,0.1042619418311982,0.0908907002132117,0.1315154452599787,0.013371241617986501,0.02725350342878051
538962,MINDA CORPORATION LTD,0.1272660753272816,0.1272660753272816,0.1535958528196103,0.0,0.026329777492328704
540530,HOUSING  URBAN DEVELOPMENT CORPN LTD,0.1493340426239324,0.1132618009474871,0.1746963725905544,0.03607224167644531,0.025362329966621994
532978,BAJAJ FINSERV LTD,0.1114645811421527,0.1097993984307032,0.135367437384253,0.0016651827114494977,0.023902856242100298
532947,IRB INFRASTRUCTURE DEVELOPERS LTD,0.1213118350643768,0.1064523272020044,0.1445380289031068,0.014859507862372404,0.023226193838729994
509631,HEG LTD,0.2168860070308597,0.1497307127734992,0.2389561835452943,0.0671552942573605,0.022070176514434603
500670,GUJARAT NARMADA VALLEY FERTILIZERS  CHEMICALS LTD,0.1807883465800488,0.1665137869592577,0.2027930973083819,0.014274559620791105,0.022004750728333106
570001,TATA MOTORS DVR,0.1546950909345984,0.1327574456178189,0.1760878027835785,0.021937645316779497,0.02139271184898009
