code,company,actual,predicted,minimum,maximum
500290,MRF LTD,0.6301798254738782,0.09979955497313794,0.2959448791749334,
540701,DISHMAN CARBOGEN AMCIS LTD,0.33098613014779654,0.04053471541146511,0.1051055589348069,0.35673257751121146
533573,ALEMBIC PHARMACEUTICALS LTD,0.32153403960753635,0.10321165732430566,0.2513359620952684,
532215,AXIS BANK LTD,0.2837818297072917,0.32076034276877624,0.25680910761251996,0.30449381040133877
539597,JINDAL STAINLESS HISAR LTD,0.2686151921165301,-0.16170186999157005,0.15302549180734193,
534804,CARE RATINGS LTD,0.25511387196847063,0.11406184570083899,0.1974640335401682,0.2609663900210069
540222,LAURUS LABS LTD,0.23943843054938632,0.18488141328213495,0.19564240907021246,0.2653404056940415
500338,PRISM JOHNSON LTD,0.2273972559608263,0.19480054138973682,0.19863343426819027,0.2562822635319367
540611,AU SMALL FINANCE BANK LTD,0.22713395207231388,0.20868857185052586,0.19577928819325202,0.23867153835926888
500116,IDBI BANK LTD,0.21738547816765047,0.17248222374938155,0.16619869711595658,0.24904962835334624
539268,SYNGENE INTERNATIONAL LTD,0.19255452012681323,0.07849710403681077,0.16178643724034728,0.2058154965621036
500530,BOSCH LTD,0.19140255733109643,0.11293502173717776,0.17119744699334485,0.20173854009925107
506590,PHILLIPS CARBON BLACK LTD,0.18942995463087325,0.20624520424405932,0.16955509532260926,0.22226405824740159
500031,BAJAJ ELECTRICALS LTD,0.18734742401303955,0.08946644063414694,0.1641473496936066,0.19575245714657954
534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD,0.18490931327159638,0.16995384746217507,0.15406661516574402,0.21396484064494495
519091,TASTY BITE EATABLES LTD,0.1789058105244654,0.21680812826841114,0.16717952999952984,0.19578160562029565
507880,VIP INDUSTRIES LTD,0.1648592663286919,0.18423767959182225,0.15352606388990345,0.17773925294317397
500875,ITC LTD,0.16232822372011316,0.1803847307568835,0.1470820550263649,0.17767303573674456
509631,HEG LTD,0.15920683123737453,0.19110898788523933,0.14063081155598217,0.17579373999656459
540025,ADVANCED ENZYME TECHNOLOGIES LTD,0.15855868768847237,0.15204556411960626,0.10925344462098871,0.17980560493570993
500042,BASF INDIA LTD,0.15573574058210043,0.03910181603657028,0.13326023238403514,0.1578970185667228
533248,GUJARAT PIPAVAV PORT LTD,0.1516017449252342,0.09977876196083632,0.13729275260989968,0.1590700672485159
534976,VMART RETAIL LTD,0.14419818376985388,0.8204949066732696,,0.24171894290203055
532483,CANARA BANK,0.14285695924235609,0.22464404707847563,0.13747506286317776,0.15540856396944047
500002,ABB INDIA LTD,0.13973847192994554,0.20213046476069743,0.13783603254786395,0.14963714490443616
505355,NESCO LTD,0.13645281202241297,0.09803691871023068,0.12994272591363779,0.1495987322332488
533148,JSW ENERGY LTD,0.13424277276302202,0.1324700055064492,0.12458067587611382,0.1473094254932795
539957,MAHANAGAR GAS LTD,0.13273602897312187,0.12667361575356562,0.12787408974271625,0.13923435774892945
542830,INDIAN RAILWAY CATERING  TOURISM CORPN LTD,0.13096463495331218,0.21084529474959104,0.1263705634308457,0.14644471406086684
533758,APL APOLLO TUBES LTD,0.1278680195026719,0.11760058369015751,0.11621060080876178,0.1414972590583449
538962,MINDA CORPORATION LTD,0.12393640286392997,0.10028621052070473,0.11256091933032715,0.13836314195337646
539450,S H KELKAR AND COMPANY LTD,0.1220901971374561,0.10576088214502771,0.0981262104433252,0.13474343945596803
532301,TATA COFFEE LTD,0.11998810180271736,0.12926289852186193,0.11399959034605035,0.12414441421691212
540212,TCI EXPRESS LTD,0.11707210095356668,0.21874462624843521,0.11342287906688216,0.13332974374811024
532638,SHOPPERS STOP LTD,0.11697738352818479,0.35203991681128577,0.11454066974711453,0.14496510025829687
532947,IRB INFRASTRUCTURE DEVELOPERS LTD,0.11508697789714036,0.20467158550767567,0.09533750466615144,0.1375364110901903
500126,PROCTER  GAMBLE HEALTH LTD,0.11258763063909782,0.1388254899253733,0.09855914249144827,0.12381523737217993
532955,REC LTD,0.11129770471052676,0.10050661397901534,0.10776770160686383,0.11604851751414443
500670,GUJARAT NARMADA VALLEY FERTILIZERS  CHEMICALS LTD,0.11009908784406448,0.11406815565278403,0.09965566131068038,0.11857812614322884
517385,SYMPHONY LTD,0.10830226626667118,0.08332946383726979,0.10284368056041057,0.11346615404889887
540115,LT TECHNOLOGY SERVICES LTD,0.1070260921234835,0.14236018675273743,0.10484719380054382,0.11262184822206134
540005,LARSEN  TOUBRO INFOTECH LTD,0.10700185967485239,0.5177452119615301,,0.15095216221860994
509243,TVS SRICHAKRA LTD,0.10694905174721739,0.19686948303865087,0.09262351751412794,0.12313839086719831
532880,OMAXE LTD,0.10632741828188695,0.1700234265039138,,0.11310005039099691
500488,ABBOTT INDIA LTD,0.10393755605592107,0.055220716459578364,0.0988740468095089,
500645,DEEPAK FERTILISERS  PETROCHEMICALS CORPN LTD,0.10326019949027293,0.3355138188682021,0.08648513579577903,0.14276946646959363
505726,IFB INDUSTRIES LTD,0.10233978460309917,0.17985664654594724,0.09286463555977907,0.11425186252833198
513023,NAVA BHARAT VENTURES LTD,0.10168196776815566,0.16708632415707517,0.08472143225152917,0.11876516966644586
500003,AEGIS LOGISTICS LTD,0.09909002917133242,0.6056519694115189,,0.14928526660681923
500770,TATA CHEMICALS LTD,0.09604144900019176,0.09188333967564236,0.06854271060812604,0.10241694504241952
532500,MARUTI SUZUKI INDIA LTD,0.09585664296813094,0.10516660162115175,0.09384323130741365,0.09801247002181117
