Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532659,IDFC,IDFC LIMITED,10 Jul 2008,Dividend - Rs. - 1.2000,-,12 Jul 2008,18 Jul 2008,07 Jul 2008,10 Jul 2008,-
532659,IDFC,IDFC LIMITED,07 Jul 2009,Dividend - Rs. - 1.2000,-,09 Jul 2009,20 Jul 2009,02 Jul 2009,08 Jul 2009,-
532659,IDFC,IDFC LIMITED,17 Jun 2010,Dividend - Rs. - 1.5000,-,21 Jun 2010,28 Jun 2010,14 Jun 2010,18 Jun 2010,-
532659,IDFC,IDFC LIMITED,14 Jul 2011,Dividend - Rs. - 2.0000,-,16 Jul 2011,27 Jul 2011,11 Jul 2011,14 Jul 2011,-
532659,IDFC,IDFC LIMITED,28 Jun 2012,Dividend - Rs. - 2.3000,-,30 Jun 2012,09 Jul 2012,25 Jun 2012,27 Jun 2012,-
532659,IDFC,IDFC LIMITED,18 Jul 2013,Dividend - Rs. - 2.6000,-,20 Jul 2013,29 Jul 2013,15 Jul 2013,18 Jul 2013,-
532659,IDFC,IDFC LIMITED,17 Jul 2014,Dividend - Rs. - 2.6000,-,19 Jul 2014,29 Jul 2014,14 Jul 2014,17 Jul 2014,-
532659,IDFC,IDFC LIMITED,23 Jul 2015,Dividend - Rs. - 2.6000,-,25 Jul 2015,30 Jul 2015,20 Jul 2015,23 Jul 2015,-
532659,IDFC,IDFC LIMITED,01 Oct 2015,Spin Off ,05 Oct 2015,-,-,24 Sep 2015,01 Oct 2015,-
532659,IDFC,IDFC LIMITED,20 Jul 2017,Dividend - Rs. - 0.2500,-,22 Jul 2017,28 Jul 2017,17 Jul 2017,20 Jul 2017,-
532659,IDFC,IDFC LIMITED,23 Jul 2018,Final Dividend - Rs. - 0.7500,-,25 Jul 2018,31 Jul 2018,18 Jul 2018,24 Jul 2018,-
532659,IDFC,IDFC LIMITED,27 Sep 2019,Interim Dividend - Rs. - 2.5000,30 Sep 2019,-,-,23 Sep 2019,27 Sep 2019,-
532659,IDFC,IDFC LIMITED,21 Nov 2019,Interim Dividend - Rs. - 0.6500,22 Nov 2019,-,-,15 Nov 2019,21 Nov 2019,-
