Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
505790,SCHAEFFLER,Schaeffler India Ltd,28 Mar 2008,Dividend - Rs. - 4.0000,-,01 Apr 2008,05 Apr 2008,25 Mar 2008,28 Mar 2008,-
505790,SCHAEFFLER,Schaeffler India Ltd,30 Mar 2009,Dividend - Rs. - 4.5000,-,01 Apr 2009,03 Apr 2009,25 Mar 2009,30 Mar 2009,-
505790,SCHAEFFLER,Schaeffler India Ltd,30 Mar 2010,Dividend - Rs. - 4.5000,-,01 Apr 2010,05 Apr 2010,25 Mar 2010,30 Mar 2010,-
505790,SCHAEFFLER,Schaeffler India Ltd,30 Mar 2011,Dividend - Rs. - 5.0000,-,01 Apr 2011,05 Apr 2011,25 Mar 2011,29 Mar 2011,-
505790,SCHAEFFLER,Schaeffler India Ltd,29 Mar 2012,Dividend - Rs. - 5.0000,-,02 Apr 2012,06 Apr 2012,26 Mar 2012,29 Mar 2012,-
505790,SCHAEFFLER,Schaeffler India Ltd,29 Mar 2012,Special Dividend - Rs. - 5.0000,-,02 Apr 2012,06 Apr 2012,26 Mar 2012,29 Mar 2012,-
505790,SCHAEFFLER,Schaeffler India Ltd,26 Mar 2013,Dividend - Rs. - 5.0000,-,02 Apr 2013,06 Apr 2013,22 Mar 2013,01 Apr 2013,-
505790,SCHAEFFLER,Schaeffler India Ltd,27 Mar 2014,Dividend - Rs. - 6.0000,-,01 Apr 2014,05 Apr 2014,25 Mar 2014,27 Mar 2014,-
505790,SCHAEFFLER,Schaeffler India Ltd,30 Mar 2015,Dividend - Rs. - 7.5000,-,01 Apr 2015,06 Apr 2015,25 Mar 2015,30 Mar 2015,30 Apr 2015
505790,SCHAEFFLER,Schaeffler India Ltd,13 Apr 2016,Dividend - Rs. - 10.0000,-,19 Apr 2016,23 Apr 2016,07 Apr 2016,13 Apr 2016,-
505790,SCHAEFFLER,Schaeffler India Ltd,12 Apr 2017,Dividend - Rs. - 12.0000,-,15 Apr 2017,20 Apr 2017,07 Apr 2017,12 Apr 2017,-
505790,SCHAEFFLER,Schaeffler India Ltd,09 Apr 2018,Dividend - Rs. - 17.0000,-,11 Apr 2018,16 Apr 2018,04 Apr 2018,10 Apr 2018,-
505790,SCHAEFFLER,Schaeffler India Ltd,22 Apr 2019,Dividend - Rs. - 20.0000,-,24 Apr 2019,30 Apr 2019,15 Apr 2019,23 Apr 2019,-
505790,SCHAEFFLER,Schaeffler India Ltd,22 Apr 2019,Special Dividend - Rs. - 10.0000,-,24 Apr 2019,30 Apr 2019,15 Apr 2019,23 Apr 2019,-
505790,SCHAEFFLER,Schaeffler India Ltd,19 Jun 2020,Final Dividend - Rs. - 35.0000,-,23 Jun 2020,30 Jun 2020,16 Jun 2020,22 Jun 2020,-
505790,SCHAEFFLER,Schaeffler India Ltd,19 Apr 2021,Dividend - Rs. - 38.0000,-,21 Apr 2021,27 Apr 2021,12 Apr 2021,19 Apr 2021,-
