Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
531092,OMINFRAL,OM Infra Ltd,25 Sep 2008,Dividend - Rs. - 0.2000,-,27 Sep 2008,30 Sep 2008,22 Sep 2008,25 Sep 2008,-
531092,OMINFRAL,OM Infra Ltd,25 Mar 2009,Interim Dividend - Rs. - 0.1000,27 Mar 2009,-,-,20 Mar 2009,25 Mar 2009,-
531092,OMINFRAL,OM Infra Ltd,18 Feb 2010,Interim Dividend - Rs. - 0.2000,19 Feb 2010,-,-,11 Feb 2010,18 Feb 2010,-
531092,OMINFRAL,OM Infra Ltd,09 Dec 2010,Interim Dividend - Rs. - 0.1500,10 Dec 2010,-,-,03 Dec 2010,09 Dec 2010,-
531092,OMINFRAL,OM Infra Ltd,21 Mar 2012,Interim Dividend - Rs. - 0.1000,23 Mar 2012,-,-,16 Mar 2012,21 Mar 2012,-
531092,OMINFRAL,OM Infra Ltd,22 Mar 2013,Interim Dividend - Rs. - 0.1000,25 Mar 2013,-,-,18 Mar 2013,22 Mar 2013,30 Mar 2013
531092,OMINFRAL,OM Infra Ltd,26 Mar 2014,Interim Dividend - Rs. - 0.1000,27 Mar 2014,-,-,20 Mar 2014,26 Mar 2014,31 Mar 2014
531092,OMINFRAL,OM Infra Ltd,24 Sep 2014,Dividend - Rs. - 0.1000,-,26 Sep 2014,30 Sep 2014,19 Sep 2014,25 Sep 2014,25 Oct 2014
531092,OMINFRAL,OM Infra Ltd,23 Sep 2015,Final Dividend - Rs. - 0.2000,-,25 Sep 2015,29 Sep 2015,18 Sep 2015,23 Sep 2015,-
531092,OMINFRAL,OM Infra Ltd,17 Mar 2016,Interim Dividend - Rs. - 0.3000,19 Mar 2016,-,-,14 Mar 2016,17 Mar 2016,-
531092,OMINFRAL,OM Infra Ltd,20 Sep 2017,Dividend - Rs. - 0.2000,-,22 Sep 2017,29 Sep 2017,15 Sep 2017,21 Sep 2017,-
531092,OMINFRAL,OM Infra Ltd,27 Feb 2018,Interim Dividend - Rs. - 0.3500,28 Feb 2018,-,-,21 Feb 2018,27 Feb 2018,-
531092,OMINFRAL,OM Infra Ltd,19 Sep 2019,Final Dividend - Rs. - 0.2500,-,23 Sep 2019,30 Sep 2019,16 Sep 2019,20 Sep 2019,-
531092,OMINFRAL,OM Infra Ltd,18 Sep 2020,Final Dividend - Rs. - 0.2000,-,22 Sep 2020,29 Sep 2020,15 Sep 2020,21 Sep 2020,-
