Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,06 Sep 2007,Dividend - Rs. - 4.5000,-,08 Sep 2007,21 Sep 2007,03 Sep 2007,06 Sep 2007,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,04 Sep 2008,Dividend - Rs. - 4.5000,-,06 Sep 2008,19 Sep 2008,29 Aug 2008,04 Sep 2008,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,10 Sep 2009,Dividend - Rs. - 4.5000,-,12 Sep 2009,25 Sep 2009,07 Sep 2009,10 Sep 2009,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,08 Sep 2010,Dividend - Rs. - 4.5000,-,11 Sep 2010,24 Sep 2010,03 Sep 2010,08 Sep 2010,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,30 Aug 2011,Dividend - Rs. - 7.0000,-,03 Sep 2011,17 Sep 2011,25 Aug 2011,30 Aug 2011,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,19 Jul 2012,Dividend - Rs. - 7.5000,-,21 Jul 2012,04 Aug 2012,16 Jul 2012,19 Jul 2012,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,20 Sep 2012,Stock  Split From Rs.10/- to Rs.2/-,22 Sep 2012,-,-,14 Sep 2012,20 Sep 2012,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,18 Jul 2013,Dividend - Rs. - 2.0000,-,20 Jul 2013,03 Aug 2013,15 Jul 2013,18 Jul 2013,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,24 Jul 2014,Dividend - Rs. - 2.0000,-,26 Jul 2014,08 Aug 2014,21 Jul 2014,24 Jul 2014,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,31 Aug 2015,Dividend - Rs. - 2.2000,-,02 Sep 2015,16 Sep 2015,26 Aug 2015,01 Sep 2015,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,01 Sep 2016,Dividend - Rs. - 2.2000,-,03 Sep 2016,17 Sep 2016,29 Aug 2016,01 Sep 2016,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,31 Aug 2017,Dividend - Rs. - 2.2000,-,02 Sep 2017,16 Sep 2017,28 Aug 2017,31 Aug 2017,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,11 Sep 2018,Dividend - Rs. - 2.2000,-,13 Sep 2018,28 Sep 2018,06 Sep 2018,11 Sep 2018,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,09 Sep 2019,Dividend - Rs. - 2.2000,-,12 Sep 2019,27 Sep 2019,04 Sep 2019,11 Sep 2019,-
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,14 Sep 2020,Final Dividend - Rs. - 1.2000,-,16 Sep 2020,30 Sep 2020,09 Sep 2020,15 Sep 2020,-
