Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,04 Sep 2008,Dividend - Rs. - 1.0000,-,06 Sep 2008,15 Sep 2008,29 Aug 2008,04 Sep 2008,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,27 Aug 2009,Dividend - Rs. - 0.6000,-,29 Aug 2009,07 Sep 2009,24 Aug 2009,27 Aug 2009,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,13 Sep 2010,Dividend - Rs. - 1.0000,-,15 Sep 2010,21 Sep 2010,07 Sep 2010,14 Sep 2010,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,23 Sep 2011,Dividend - Rs. - 1.0000,-,27 Sep 2011,27 Sep 2011,20 Sep 2011,26 Sep 2011,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,16 Nov 2011,Bonus issue 1:2,17 Nov 2011,-,-,11 Nov 2011,16 Nov 2011,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,06 Sep 2012,Dividend - Rs. - 1.0000,-,08 Sep 2012,15 Sep 2012,03 Sep 2012,06 Sep 2012,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,30 Aug 2013,Dividend - Rs. - 1.0000,-,03 Sep 2013,10 Sep 2013,27 Aug 2013,02 Sep 2013,21 Sep 2013
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,01 Sep 2014,Dividend - Rs. - 1.2000,-,03 Sep 2014,10 Sep 2014,26 Aug 2014,02 Sep 2014,22 Sep 2014
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,05 Aug 2015,Dividend - Rs. - 1.2000,-,07 Aug 2015,13 Aug 2015,31 Jul 2015,06 Aug 2015,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,17 Mar 2016,Interim Dividend - Rs. - 1.2000,19 Mar 2016,-,-,17 Mar 2016,17 Mar 2016,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,07 Sep 2016,Final Dividend - Rs. - 0.6000,-,09 Sep 2016,15 Sep 2016,01 Sep 2016,08 Sep 2016,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,23 Sep 2016,Bonus issue 1:2,26 Sep 2016,-,-,20 Sep 2016,23 Sep 2016,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,07 Sep 2017,Final Dividend - Rs. - 1.8000,-,09 Sep 2017,15 Sep 2017,04 Sep 2017,07 Sep 2017,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,14 Dec 2017,Right Issue of Equity Shares ,15 Dec 2017,-,-,08 Dec 2017,14 Dec 2017,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,11 Sep 2018,Final Dividend - Rs. - 1.8000,-,14 Sep 2018,19 Sep 2018,06 Sep 2018,12 Sep 2018,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,04 Sep 2019,Final Dividend - Rs. - 1.8000,-,06 Sep 2019,12 Sep 2019,29 Aug 2019,05 Sep 2019,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,26 Aug 2020,Final Dividend - Rs. - 0.6000,-,28 Aug 2020,03 Sep 2020,21 Aug 2020,27 Aug 2020,-
