Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,23 Aug 2007,Dividend - Rs. - 2.5000,-,25 Aug 2007,29 Aug 2007,17 Aug 2007,23 Aug 2007,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,11 Sep 2008,Dividend - Rs. - 1.5000,-,15 Sep 2008,19 Sep 2008,08 Sep 2008,12 Sep 2008,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,23 Sep 2009,Dividend - Rs. - 1.5000,-,25 Sep 2009,30 Sep 2009,17 Sep 2009,24 Sep 2009,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,22 Sep 2010,Dividend - Rs. - 1.5000,-,24 Sep 2010,29 Sep 2010,17 Sep 2010,23 Sep 2010,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,21 Sep 2011,Dividend - Rs. - 2.5000,-,23 Sep 2011,30 Sep 2011,16 Sep 2011,22 Sep 2011,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,14 Sep 2012,Dividend - Rs. - 3.2000,-,18 Sep 2012,25 Sep 2012,11 Sep 2012,17 Sep 2012,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,13 Sep 2013,Final Dividend - Rs. - 4.0000,-,17 Sep 2013,24 Sep 2013,10 Sep 2013,16 Sep 2013,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,18 Sep 2014,Final Dividend - Rs. - 4.5000,-,22 Sep 2014,29 Sep 2014,18 Sep 2014,19 Sep 2014,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,30 Oct 2014,Stock  Split From Rs.10/- to Rs.2/-,31 Oct 2014,-,-,22 Oct 2014,30 Oct 2014,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,31 Aug 2015,Dividend - Rs. - 1.2000,-,02 Sep 2015,09 Sep 2015,26 Aug 2015,01 Sep 2015,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,08 Oct 2015,Bonus issue 1:1,10 Oct 2015,-,-,05 Oct 2015,08 Oct 2015,-
532776,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,20 Sep 2016,Dividend - Rs. - 0.4000,-,22 Sep 2016,29 Sep 2016,15 Sep 2016,21 Sep 2016,-
