Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
533080,MOLDTKPAC,Mold-Tek Packaging Limited,17 Sep 2009,Dividend - Rs. - 2.0000,-,21 Sep 2009,24 Sep 2009,14 Sep 2009,17 Sep 2009,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,05 Aug 2010,Dividend - Rs. - 3.0000,-,09 Aug 2010,12 Aug 2010,02 Aug 2010,06 Aug 2010,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,24 May 2011,Interim Dividend - Rs. - 2.0000,25 May 2011,-,-,18 May 2011,24 May 2011,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,14 Sep 2011,Final Dividend - Rs. - 3.0000,-,16 Sep 2011,19 Sep 2011,09 Sep 2011,15 Sep 2011,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,21 Feb 2012,Interim Dividend - Rs. - 2.5000,22 Feb 2012,-,-,14 Feb 2012,21 Feb 2012,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,13 Sep 2012,Final Dividend - Rs. - 2.5000,-,17 Sep 2012,22 Sep 2012,10 Sep 2012,14 Sep 2012,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,23 May 2013,Interim Dividend - Rs. - 1.0000,25 May 2013,-,-,20 May 2013,23 May 2013,12 Jun 2013
533080,MOLDTKPAC,Mold-Tek Packaging Limited,25 Sep 2013,Final Dividend - Rs. - 1.5000,-,27 Sep 2013,30 Sep 2013,20 Sep 2013,26 Sep 2013,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,20 May 2014,Interim Dividend - Rs. - 1.5000,21 May 2014,-,-,13 May 2014,20 May 2014,11 Jun 2014
533080,MOLDTKPAC,Mold-Tek Packaging Limited,24 Sep 2014,Final Dividend - Rs. - 1.5000,-,26 Sep 2014,30 Sep 2014,19 Sep 2014,25 Sep 2014,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,12 Mar 2015,Interim Dividend - Rs. - 2.0000,14 Mar 2015,-,-,09 Mar 2015,12 Mar 2015,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,18 Sep 2015,Final Dividend - Rs. - 2.0000,-,22 Sep 2015,28 Sep 2015,14 Sep 2015,21 Sep 2015,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,17 Feb 2016,Stock  Split From Rs.10/- to Rs.5/-,18 Feb 2016,-,-,11 Feb 2016,16 Feb 2016,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,18 Mar 2016,Interim Dividend - Rs. - 2.0000,21 Mar 2016,-,-,14 Mar 2016,18 Mar 2016,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,09 Sep 2016,Final Dividend - Rs. - 1.2500,-,13 Sep 2016,19 Sep 2016,06 Sep 2016,09 Sep 2016,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,10 Apr 2017,Interim Dividend - Rs. - 2.0000,11 Apr 2017,-,-,03 Apr 2017,10 Apr 2017,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,14 Sep 2017,Final Dividend - Rs. - 1.6000,-,16 Sep 2017,22 Sep 2017,11 Sep 2017,14 Sep 2017,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,21 May 2018,Interim Dividend - Rs. - 2.0000,22 May 2018,-,-,15 May 2018,21 May 2018,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,19 Sep 2018,Final Dividend - Rs. - 2.0000,-,23 Sep 2018,29 Sep 2018,14 Sep 2018,19 Sep 2018,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,09 May 2019,Interim Dividend - Rs. - 2.0000,10 May 2019,-,-,03 May 2019,09 May 2019,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,20 Sep 2019,Final Dividend - Rs. - 2.0000,-,24 Sep 2019,30 Sep 2019,17 Sep 2019,23 Sep 2019,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,19 Mar 2020,Interim Dividend - Rs. - 5.0000,21 Mar 2020,-,-,16 Mar 2020,19 Mar 2020,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,21 Oct 2020,Right Issue of Equity Shares with Warrants ,22 Oct 2020,-,-,20 Oct 2020,21 Oct 2020,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,16 Mar 2021,Interim Dividend - Rs. - 3.0000,17 Mar 2021,-,-,09 Mar 2021,16 Mar 2021,-
