Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,17 Jul 2008,Reduction of Capital ,24 Jul 2008,-,-,17 Jul 2008,23 Jul 2008,-
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,11 Nov 2010,Interim Dividend - Rs. - 0.5000,12 Nov 2010,-,-,04 Nov 2010,11 Nov 2010,-
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,02 Sep 2011,Final Dividend - Rs. - 0.5000,-,06 Sep 2011,20 Sep 2011,26 Aug 2011,05 Sep 2011,-
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,18 Sep 2012,Dividend - Rs. - 1.0000,-,21 Sep 2012,27 Sep 2012,13 Sep 2012,20 Sep 2012,-
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,13 Sep 2013,Dividend - Rs. - 1.0000,-,17 Sep 2013,20 Sep 2013,10 Sep 2013,16 Sep 2013,17 Oct 2013
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,05 Sep 2014,Dividend - Rs. - 1.0000,-,09 Sep 2014,19 Sep 2014,02 Sep 2014,08 Sep 2014,16 Oct 2014
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,07 Aug 2015,Dividend - Rs. - 0.1500,-,11 Aug 2015,17 Aug 2015,04 Aug 2015,10 Aug 2015,-
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,14 Aug 2017,Dividend - Rs. - 0.2000,-,17 Aug 2017,22 Aug 2017,09 Aug 2017,14 Aug 2017,-
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,18 Sep 2018,Dividend - Rs. - 0.2500,-,21 Sep 2018,27 Sep 2018,12 Sep 2018,19 Sep 2018,-
513599,HINDCOPPER,HINDUSTAN COPPER LTD.,23 Jul 2019,Dividend - Rs. - 0.5200,-,25 Jul 2019,31 Jul 2019,18 Jul 2019,24 Jul 2019,-
