SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
531499,SYBLY INDS. ,XT,Q,5.65,5.79,5.26,5.76,5.76,5.52,52,6163,33955.0,,2021-07-19
531500,RAJESH EXPO.,A ,Q,577.0,579.9,574.9,575.0,575.0,575.9,2110,141227,81295807.0,,2021-07-19
531502,ESAAR (I)LTD,X ,Q,3.39,3.39,3.39,3.39,3.39,3.33,9,8804,29845.0,,2021-07-19
531503,MARIS SPIN. ,XT,Q,71.05,71.05,71.05,71.05,71.05,67.7,32,11384,808833.0,,2021-07-19
531508,EVEREADY (I),A ,Q,313.0,319.95,308.0,312.35,312.35,315.5,1627,53130,16553689.0,,2021-07-19
531512,ORIENT TRADE,XT,Q,6.34,6.49,6.04,6.42,6.45,6.35,45,11803,74937.0,,2021-07-19
531515,MAHAN IND.  ,XT,Q,0.39,0.39,0.39,0.39,0.39,0.39,1,5000,1950.0,,2021-07-19
531518,VIKASPROP   ,B ,Q,2.65,2.65,2.6,2.63,2.65,2.66,1347,805514,2112154.0,,2021-07-19
531525,ACE SOFTWARE,X ,Q,18.45,19.0,17.55,17.55,17.55,18.45,18,1537,27051.0,,2021-07-19
531531,HATSUN AGRO ,A ,Q,965.0,1000.0,960.05,965.1,961.6,975.35,1927,11116,10903724.0,,2021-07-19
531533,E.COM INFOTE,XT,Q,14.0,14.0,13.3,13.3,13.3,14.0,11,1392,18913.0,,2021-07-19
531539,RISHABH DIGH,X ,Q,22.8,22.9,22.8,22.9,22.9,22.8,3,1051,23967.0,,2021-07-19
531540,MARUTI INFRA,X ,Q,33.95,34.85,32.95,34.25,34.5,33.85,81,8192,277598.0,,2021-07-19
531541,KOBO        ,Z ,Q,6.96,6.96,6.96,6.96,6.96,6.63,11,4476,31152.0,,2021-07-19
531543,JINDAL WORLD,B ,Q,77.0,81.5,75.4,78.15,78.3,75.9,2860,376741,29644964.0,,2021-07-19
531548,SOMANY CRAM ,T ,Q,688.95,700.0,673.0,697.6,699.9,675.4,715,17179,11894472.0,,2021-07-19
531552,RAGHUNATH TO,X ,Q,8.46,8.46,8.04,8.04,8.04,8.46,11,2596,20881.0,,2021-07-19
531556,CORAL (I)FIN,B ,Q,52.0,54.05,51.1,52.3,52.95,53.0,380,25021,1316197.0,,2021-07-19
531568,ASHUTOSH PAP,XT,Q,1.64,1.64,1.5,1.5,1.5,1.57,12,21019,34331.0,,2021-07-19
531569,SANJIVANI PA,X ,Q,25.0,25.35,23.5,25.35,25.35,24.15,110,73632,1860538.0,,2021-07-19
531578,KMF BUILDERS,X ,Q,3.42,3.59,3.42,3.59,3.59,3.6,6,2032,6954.0,,2021-07-19
531582,BERYL SECUR.,XT,Q,9.06,9.51,9.06,9.51,9.51,9.06,3,500,4743.0,,2021-07-19
531583,RAP MEDIA   ,XT,Q,12.9,13.55,12.9,12.9,12.9,13.55,10,7549,98297.0,,2021-07-19
531585,DEVINE IMPE ,XT,Q,6.85,7.05,6.39,7.05,7.05,6.72,52,11383,77817.0,,2021-07-19
531591,BAMPSL SECUR,XT,Q,2.31,2.31,2.31,2.31,2.31,2.43,7,16450,37999.0,,2021-07-19
531592,GENPHARMA   ,X ,Q,9.2,9.6,9.2,9.44,9.49,9.34,671,258091,2428978.0,,2021-07-19
531594,INCON ENGG. ,XT,Q,6.34,6.34,6.34,6.34,6.34,6.04,7,753,4774.0,,2021-07-19
531595,CGCL        ,A ,Q,530.85,539.75,525.95,529.3,526.15,529.9,6003,149038,78860187.0,,2021-07-19
531599,FDC LIMITED ,A ,Q,373.1,377.8,372.0,374.05,374.05,379.05,1028,19954,7482635.0,,2021-07-19
531608,GORANI INDUS,XT,Q,22.0,22.55,22.0,22.55,22.55,21.5,10,2464,55473.0,,2021-07-19
531609,KG PETROCHEM,XT,Q,309.0,309.0,293.0,308.0,308.0,307.0,21,647,198732.0,,2021-07-19
531613,MAL         ,XT,Q,1.73,1.73,1.73,1.73,1.73,1.65,16,36151,62541.0,,2021-07-19
531616,STARCOM     ,XT,Q,258.6,258.6,236.2,246.2,249.95,246.3,70,1671,414334.0,,2021-07-19
531624,COUNTRY COND,T ,Q,2.9,2.99,2.86,2.92,2.88,2.96,61,26041,75641.0,,2021-07-19
531626,OROSMITHS   ,X ,Q,3.55,3.57,3.55,3.55,3.55,3.42,6,645,2295.0,,2021-07-19
531633,LINCOLN PHAR,A ,Q,364.6,366.4,354.95,357.9,357.9,368.55,2031,25022,9032654.0,,2021-07-19
531635,SILVER OAK  ,XT,Q,28.45,30.45,28.45,29.6,29.6,29.0,13,405,12164.0,,2021-07-19
531637,PRAVEG      ,X ,Q,103.0,120.0,103.0,120.0,120.0,100.0,1592,229538,27078197.0,,2021-07-19
