Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-14,0.96,0.97,0.95,0.96,0.953461411063266,24152.0,74.0,23028.0,24152.0,100.0,0.02,0.0,1620950400.0
2021-05-12,0.96,0.96,0.96,0.96,0.9599869345092276,6123.0,30.0,5878.0,6123.0,100.0,0.0,0.0,1620757800.0
2021-05-11,1.01,1.01,1.01,1.01,1.0099424385138671,11466.0,33.0,11580.0,11466.0,100.0,0.0,0.0,1620671400.0
2021-05-10,1.11,1.11,1.06,1.06,1.0632471201912628,4601.0,23.0,4892.0,4601.0,100.0,0.05,-0.05,1620585000.0
2021-05-07,1.11,1.11,1.11,1.11,1.1099630996309964,18970.0,26.0,21056.0,18970.0,100.0,0.0,0.0,1620345600.0
2021-05-06,1.16,1.16,1.16,1.16,1.1599595323741008,8896.0,21.0,10319.0,8896.0,100.0,0.0,0.0,1620259200.0
2021-05-05,1.22,1.22,1.22,1.22,1.219966429542003,12511.0,13.0,15263.0,12511.0,100.0,0.0,0.0,1620153000.0
2021-05-04,1.34,1.34,1.28,1.28,1.3246031746031746,10080.0,19.0,13352.0,10080.0,100.0,0.06,-0.06,1620086400.0
2021-05-03,1.34,1.34,1.34,1.34,1.3396311291048133,2223.0,15.0,2978.0,2223.0,100.0,0.0,0.0,1620000000.0
2021-04-30,1.41,1.41,1.41,1.41,1.4099465680230168,12165.0,18.0,17152.0,12165.0,100.0,0.0,0.0,1619740800.0
2021-04-29,1.48,1.48,1.48,1.48,1.479784366576819,1855.0,12.0,2745.0,1855.0,100.0,0.0,0.0,1619654400.0
2021-04-28,1.55,1.55,1.55,1.55,1.5498124218424345,2399.0,9.0,3718.0,2399.0,100.0,0.0,0.0,1619568000.0
2021-04-27,1.63,1.63,1.63,1.63,1.6298858526461433,2891.0,13.0,4712.0,2891.0,100.0,0.0,0.0,1619481600.0
2021-04-26,1.87,1.87,1.71,1.71,1.8058951599397084,5971.0,33.0,10783.0,5971.0,100.0,0.16,-0.16,1619395200.0
2021-04-23,1.96,1.97,1.79,1.79,1.9487257822245985,39279.0,89.0,76544.0,39279.0,100.0,0.18,-0.17,1619136000.0
2021-04-22,1.89,1.89,1.72,1.88,1.8815323799076928,48317.0,110.0,90910.0,48317.0,100.0,0.17,-0.01,1619049600.0
2021-04-20,1.85,1.85,1.77,1.8,1.841746893992363,92965.0,121.0,171218.0,92965.0,100.0,0.08,-0.05,1618876800.0
2021-04-19,1.77,1.77,1.77,1.77,1.7699816332005696,48457.0,65.0,85768.0,48457.0,100.0,0.0,0.0,1618790400.0
