Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2022-05-31,31.75,42.65,31.75,38.0,36.354696132596686,905.0,26.0,32901.0,591.0,65.3,10.9,6.25,1653955200.0
2022-05-30,36.1,39.3,35.85,36.2,37.84352078239609,409.0,17.0,15478.0,228.0,55.75,3.449999999999996,0.1000000000000014,1653868800.0
2022-05-27,33.35,40.7,33.35,36.1,37.25239616613418,313.0,24.0,11660.0,199.0,63.58,7.350000000000001,2.75,1653609600.0
2022-05-26,32.45,39.65,32.4,38.6,38.14118954974986,1799.0,18.0,68616.0,1697.0,94.33,7.25,6.149999999999999,1653523200.0
2022-05-25,38.65,38.65,36.5,36.5,36.50769230769231,195.0,6.0,7119.0,195.0,100.0,2.1499999999999986,-2.1499999999999986,1653436800.0
2022-05-24,41.9,42.3,35.45,36.65,37.07017543859649,57.0,12.0,2113.0,32.0,56.14,6.849999999999994,-5.25,1653350400.0
2022-05-23,39.8,41.0,34.5,37.2,39.3125,304.0,22.0,11951.0,215.0,70.72,6.5,-2.5999999999999943,1653264000.0
2022-05-20,33.3,39.9,33.3,38.0,37.78181818181818,110.0,9.0,4156.0,108.0,98.18,6.600000000000001,4.700000000000003,1653004800.0
2022-05-19,40.8,42.95,34.35,35.85,35.29865985960434,1567.0,39.0,55313.0,1001.0,63.88,8.600000000000001,-4.949999999999996,1652918400.0
2022-05-18,38.0,43.5,34.75,39.8,38.926957091385525,3053.0,45.0,118844.0,1817.0,59.52,8.75,1.7999999999999972,1652832000.0
2022-05-17,33.35,42.8,33.35,38.05,39.4020842379505,2303.0,62.0,90743.0,1228.0,53.32,9.449999999999996,4.699999999999996,1652745600.0
2022-05-16,43.25,43.25,32.75,37.55,36.81511161991986,1747.0,23.0,64316.0,1180.0,67.54,10.5,-5.700000000000003,1652659200.0
2022-05-13,37.0,38.5,32.85,37.5,36.572281959378735,837.0,31.0,30611.0,8214.0,22.04,5.649999999999999,0.5,1652400000.0
2022-05-12,34.1,37.7,31.0,32.2,34.58744993324433,749.0,20.0,25906.0,690.0,92.12,6.700000000000003,-1.8999999999999984,1652313600.0
2022-05-11,33.85,38.5,33.25,33.45,34.557377049180324,183.0,17.0,6324.0,96.0,52.46,5.25,-0.3999999999999986,1652227200.0
2022-05-10,37.0,43.2,35.45,35.85,36.29174664107486,1042.0,35.0,37816.0,743.0,71.31,7.75,-1.1499999999999986,1652140800.0
2022-05-09,44.0,44.0,33.85,36.7,36.12778603268945,673.0,23.0,24314.0,530.0,78.75,10.15,-7.299999999999997,1652054400.0
2022-05-06,44.55,44.55,37.3,39.35,43.160493827160494,405.0,20.0,17480.0,358.0,88.4,7.25,-5.199999999999996,1651795200.0
2022-05-05,41.65,47.75,36.05,43.25,42.15144766146993,449.0,35.0,18926.0,310.0,69.04,11.700000000000005,1.6000000000000014,1651708800.0
2022-05-04,36.25,44.0,36.25,42.4,40.47256097560975,1312.0,34.0,53100.0,751.0,57.24,7.75,6.149999999999999,1651622400.0
2022-05-02,40.7,43.95,39.05,40.7,41.69927536231884,276.0,20.0,11509.0,258.0,93.48,4.900000000000006,0.0,1651449600.0
2022-04-29,38.0,42.75,38.0,38.9,38.41666666666666,180.0,5.0,6915.0,177.0,98.33,4.75,0.8999999999999986,1651190400.0
2022-04-28,43.0,44.0,36.8,41.0,42.922831632653065,1568.0,23.0,67303.0,1490.0,95.03,7.200000000000003,-2.0,1651104000.0
2022-04-27,41.45,44.8,38.6,41.6,41.6159509202454,815.0,31.0,33917.0,78.0,100.0,6.199999999999996,0.1499999999999985,1651017600.0
2022-04-26,45.0,45.0,41.35,41.45,42.13779527559055,254.0,12.0,10703.0,203.0,79.92,3.649999999999999,-3.549999999999997,1650931200.0
2022-04-25,42.0,48.0,40.8,41.7,43.81985731272295,1682.0,33.0,73705.0,4388.0,89.92,7.200000000000003,-0.2999999999999971,1650844800.0
2022-04-22,42.0,42.0,40.7,40.7,41.66037735849056,159.0,11.0,6624.0,965.0,100.0,1.2999999999999972,-1.2999999999999972,1650585600.0
2022-04-21,46.8,46.8,38.0,41.95,42.182736455463726,1089.0,38.0,45937.0,685.0,62.9,8.799999999999997,-4.849999999999994,1650499200.0
2022-04-20,41.0,44.0,41.0,41.65,43.105555555555554,360.0,18.0,15518.0,288.0,80.0,3.0,0.6499999999999986,1650412800.0
2022-04-19,44.3,46.8,41.0,43.6,43.27511591962906,647.0,24.0,27999.0,4231.0,80.39,5.799999999999997,-0.6999999999999957,1650326400.0
2022-04-18,47.0,47.0,38.15,43.4,44.38539042821159,397.0,32.0,17621.0,271.0,68.26,8.850000000000001,-3.6000000000000014,1650240000.0
