Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-20,115.0,118.8,115.0,118.8,118.5322168087698,16420.0,75.0,1946299.0,16420.0,100.0,3.799999999999997,3.799999999999997,1621468800.0
2021-05-19,110.0,113.15,108.0,113.15,112.55781830093908,18316.0,225.0,2061609.0,13823.0,75.47,5.150000000000006,3.1500000000000057,1621382400.0
2021-05-18,103.0,107.8,97.6,107.8,101.2079615648593,13113.0,904.0,1327140.0,11988.0,91.42,10.200000000000005,4.799999999999997,1621296000.0
2021-05-17,99.65,103.25,94.0,102.7,100.40333893114688,10123.0,221.0,1016383.0,8189.0,80.89,9.25,3.049999999999997,1621209600.0
2021-05-14,98.35,98.35,93.7,98.35,98.02266747621938,9882.0,151.0,968660.0,7947.0,80.42,4.649999999999992,0.0,1620950400.0
2021-05-12,92.0,93.7,92.0,93.7,93.39858281665192,1129.0,28.0,105447.0,1129.0,100.0,1.7000000000000028,1.7000000000000028,1620757800.0
2021-05-11,85.9,89.25,85.9,89.25,89.0,214.0,9.0,19046.0,207.0,96.73,3.3499999999999943,3.3499999999999943,1620671400.0
2021-05-10,83.75,85.15,83.25,85.0,84.60698924731183,1860.0,112.0,157369.0,1667.0,89.62,1.9000000000000057,1.25,1620585000.0
2021-05-07,79.75,81.1,79.75,81.1,80.7272030651341,1305.0,10.0,105349.0,1305.0,100.0,1.3499999999999943,1.3499999999999943,1620345600.0
2021-05-06,74.75,78.45,73.55,77.25,77.77520905066405,8132.0,102.0,632468.0,7926.0,97.47,4.900000000000006,2.5,1620259200.0
2021-05-05,74.9,74.9,71.75,74.75,74.3283950617284,405.0,23.0,30103.0,297.0,73.33,3.1500000000000057,-0.1500000000000056,1620153000.0
2021-05-04,76.9,76.9,71.7,72.05,72.81551020408163,2450.0,58.0,178398.0,2322.0,94.78,5.200000000000003,-4.8500000000000085,1620086400.0
2021-05-03,73.75,76.5,73.35,74.1,74.28997867803838,1876.0,58.0,139368.0,1545.0,82.36,3.15,0.35,1620000000.0
2021-04-30,74.0,78.45,72.35,73.35,74.08336970755128,2291.0,119.0,169725.0,1922.0,83.89,6.1,-0.65,1619740800.0
2021-04-29,76.9,78.8,72.6,75.85,75.0969568294409,1413.0,47.0,106112.0,1240.0,87.76,6.2,-1.05,1619654400.0
2021-04-28,73.15,75.45,70.5,75.45,74.34932533733132,2001.0,32.0,148773.0,1599.0,79.91,4.95,2.3,1619568000.0
2021-04-27,71.95,75.65,70.15,71.9,73.79089979550102,1956.0,67.0,144335.0,1555.0,79.5,5.5,-0.05,1619481600.0
2021-04-26,70.95,72.05,70.75,72.05,71.80493827160494,3645.0,34.0,261729.0,3645.0,100.0,1.3,1.1,1619395200.0
