Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-18,4.02,4.02,4.02,4.02,4.0,37.0,2.0,148.0,37.0,100.0,0.0,0.0,1621296000.0
2021-05-17,4.05,4.05,4.02,4.02,4.0256410256410255,39.0,3.0,157.0,39.0,100.0,0.0300000000000002,-0.0300000000000002,1621209600.0
2021-05-12,4.1,4.1,4.1,4.1,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0,1620757800.0
2021-05-10,4.15,4.15,4.15,4.15,4.15,100.0,1.0,415.0,100.0,100.0,0.0,0.0,1620585000.0
2021-05-07,4.25,4.25,4.23,4.23,4.229967426710098,1535.0,6.0,6493.0,1535.0,100.0,0.0199999999999995,-0.0199999999999995,1620345600.0
2021-05-06,4.25,4.25,4.25,4.25,4.247524752475248,101.0,1.0,429.0,101.0,100.0,0.0,0.0,1620259200.0
2021-05-05,4.25,4.3,4.25,4.25,4.278727165586329,3394.0,9.0,14522.0,3394.0,100.0,0.0499999999999998,0.0,1620153000.0
2021-04-16,4.14,4.22,4.14,4.22,4.138613861386139,101.0,3.0,418.0,101.0,100.0,0.08,0.08,1618531200.0
2021-04-15,4.14,4.14,4.14,4.14,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0,1618444800.0
2021-04-13,4.06,4.06,4.06,4.06,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0,1618272000.0
2021-04-12,4.14,4.14,4.14,4.14,4.1,10.0,1.0,41.0,10.0,100.0,0.0,0.0,1618185600.0
2021-03-26,4.14,4.14,4.14,4.14,4.14,4900.0,12.0,20286.0,4900.0,100.0,0.0,0.0,1616716800.0
2021-03-25,4.21,4.21,4.21,4.21,4.209961868446139,4196.0,8.0,17665.0,4196.0,100.0,0.0,0.0,1616630400.0
2021-03-24,4.27,4.27,4.27,4.27,4.266233766233767,154.0,2.0,657.0,154.0,100.0,0.0,0.0,1616544000.0
2021-03-17,4.35,4.35,4.35,4.35,4.35,20.0,1.0,87.0,20.0,100.0,0.0,0.0,1615939200.0
2021-03-16,4.43,4.43,4.43,4.43,4.427184466019417,309.0,1.0,1368.0,309.0,100.0,0.0,0.0,1615852800.0
2021-03-08,4.55,4.55,4.52,4.52,4.5212393803098445,2001.0,3.0,9047.0,2001.0,100.0,0.03,-0.03,1615161600.0
2021-03-04,4.55,4.55,4.55,4.55,4.55,44000.0,1.0,200200.0,44000.0,100.0,0.0,0.0,1614816000.0
2021-03-02,4.55,4.55,4.55,4.55,4.54954954954955,2109.0,2.0,9595.0,2109.0,100.0,0.0,0.0,1614643200.0
2021-03-01,4.55,4.55,4.55,4.55,4.55,400.0,1.0,1820.0,400.0,100.0,0.0,0.0,1614556800.0
2021-02-25,4.55,4.55,4.55,4.55,4.55,43700.0,2.0,198835.0,43700.0,100.0,0.0,0.0,1614211200.0
2021-02-23,4.55,4.55,4.55,4.55,4.549996579481449,87706.0,5.0,399062.0,87706.0,100.0,0.0,0.0,1614038400.0
2021-02-16,4.55,4.55,4.55,4.55,4.55,22000.0,2.0,100100.0,22000.0,100.0,0.0,0.0,1613433600.0
2021-02-15,4.55,4.55,4.55,4.55,4.55,22000.0,3.0,100100.0,22000.0,100.0,0.0,0.0,1613347200.0
2021-02-05,4.32,4.48,4.32,4.48,4.322990654205608,2675.0,3.0,11564.0,2675.0,100.0,0.16,0.16,1612483200.0
2021-02-04,4.4,4.4,4.4,4.4,4.392857142857143,28.0,3.0,123.0,28.0,100.0,0.0,0.0,1612396800.0
2021-02-02,4.48,4.48,4.48,4.48,4.0,2.0,1.0,8.0,2.0,100.0,0.0,0.0,1612224000.0
2021-02-01,4.57,4.57,4.57,4.57,4.57,1000.0,1.0,4570.0,1000.0,100.0,0.0,0.0,1612137600.0
2021-01-21,4.66,4.66,4.66,4.66,4.6,10.0,1.0,46.0,10.0,100.0,0.0,0.0,1611187200.0
2021-01-19,4.75,4.75,4.75,4.75,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0,1611014400.0
2021-01-18,4.84,4.84,4.84,4.84,4.75,4.0,1.0,19.0,4.0,100.0,0.0,0.0,1610928000.0
2021-01-14,4.93,4.93,4.93,4.93,4.888888888888888,9.0,1.0,44.0,9.0,100.0,0.0,0.0,1610582400.0
2021-01-13,5.03,5.03,5.03,5.03,5.0,7.0,3.0,35.0,7.0,100.0,0.0,0.0,1610496000.0
2021-01-08,5.13,5.13,5.13,5.13,5.0,4.0,1.0,20.0,4.0,100.0,0.0,0.0,1610064000.0
2021-01-04,5.23,5.23,5.23,5.23,5.0,1.0,1.0,5.0,1.0,100.0,0.0,0.0,1609718400.0
2021-01-01,5.33,5.33,5.33,5.33,5.285714285714286,21.0,2.0,111.0,21.0,100.0,0.0,0.0,1609459200.0
2020-12-18,5.23,5.23,5.23,5.23,5.2,20.0,1.0,104.0,20.0,100.0,0.0,0.0,1608249600.0
2020-12-16,5.13,5.13,5.13,5.13,5.116666666666666,60.0,2.0,307.0,60.0,100.0,0.0,0.0,1608076800.0
2020-12-14,5.03,5.03,5.03,5.03,5.0,30.0,1.0,150.0,30.0,100.0,0.0,0.0,1607904000.0
2020-12-10,4.94,4.94,4.94,4.94,4.9,20.0,1.0,98.0,20.0,100.0,0.0,0.0,1607558400.0
2020-12-09,4.85,4.85,4.85,4.85,4.809523809523809,21.0,1.0,101.0,21.0,100.0,0.0,0.0,1607472000.0
2020-12-08,4.88,4.88,4.88,4.88,4.8,10.0,1.0,48.0,10.0,100.0,0.0,0.0,1607385600.0
2020-12-07,4.79,4.79,4.79,4.79,4.789473684210527,209.0,1.0,1001.0,209.0,100.0,0.0,0.0,1607299200.0
2020-12-01,4.7,4.7,4.7,4.7,4.666666666666666,9.0,1.0,42.0,9.0,100.0,0.0,0.0,1606780800.0
2020-11-19,4.79,4.79,4.79,4.79,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0,1605744000.0
2020-11-18,4.7,4.7,4.7,4.7,4.7,30.0,2.0,141.0,30.0,100.0,0.0,0.0,1605657600.0
2020-11-04,4.61,4.61,4.61,4.61,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0,1604448000.0
2020-10-29,4.52,4.52,4.52,4.52,4.507042253521127,71.0,2.0,320.0,71.0,100.0,0.0,0.0,1603929600.0
2020-10-28,4.44,4.44,4.44,4.44,4.44,1000.0,2.0,4440.0,1000.0,100.0,0.0,0.0,1603843200.0
2020-10-26,4.36,4.36,4.36,4.36,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0,1603670400.0
2020-10-21,4.28,4.28,4.28,4.28,4.2,10.0,1.0,42.0,10.0,100.0,0.0,0.0,1603238400.0
2020-10-20,4.21,4.21,4.21,4.21,4.206666666666666,150.0,1.0,631.0,150.0,100.0,0.0,0.0,1603152000.0
2020-10-19,4.13,4.13,4.13,4.13,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0,1603065600.0
2020-10-16,4.05,4.05,4.05,4.05,4.032258064516129,31.0,2.0,125.0,31.0,100.0,0.0,0.0,1602806400.0
2020-10-15,3.99,3.99,3.99,3.99,3.976744186046512,43.0,2.0,171.0,43.0,100.0,0.0,0.0,1602720000.0
2020-10-14,3.92,3.92,3.92,3.92,3.92,1000.0,1.0,3920.0,1000.0,100.0,0.0,0.0,1602633600.0
2020-10-09,3.85,3.85,3.85,3.85,3.85,35000.0,1.0,134750.0,35000.0,100.0,0.0,0.0,1602201600.0
2020-10-08,3.8,3.8,3.8,3.8,3.8,39000.0,1.0,148200.0,39000.0,100.0,0.0,0.0,1602115200.0
2020-10-07,3.75,3.75,3.75,3.75,3.749990538545964,26423.0,2.0,99086.0,26423.0,100.0,0.0,0.0,1602028800.0
2020-09-01,3.71,3.71,3.71,3.71,3.7095343680709534,902.0,1.0,3346.0,902.0,100.0,0.0,0.0,1598918400.0
2020-08-27,3.78,3.78,3.78,3.78,3.77972027972028,572.0,2.0,2162.0,572.0,100.0,0.0,0.0,1598486400.0
2020-08-26,3.85,3.85,3.85,3.85,3.849056603773585,636.0,3.0,2448.0,636.0,100.0,0.0,0.0,1598400000.0
2020-08-25,3.92,3.92,3.92,3.92,3.919920844327177,7580.0,4.0,29713.0,7580.0,100.0,0.0,0.0,1598313600.0
2020-08-04,4.0,4.0,4.0,4.0,4.0,21.0,1.0,84.0,21.0,100.0,0.0,0.0,1596499200.0
