Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-18,138.7,138.8,132.0,133.45,133.06293037043957,85682.0,1094.0,11401098.0,70803.0,82.63,6.800000000000011,-5.25,1621296000.0
2021-05-17,139.9,142.95,132.0,134.15,134.79010164339317,157905.0,1985.0,21284031.0,113663.0,71.98,10.949999999999989,-5.75,1621209600.0
2021-05-14,130.4,139.6,130.4,137.6,135.09640709129158,323721.0,2882.0,43733544.0,206384.0,63.75,9.199999999999989,7.199999999999989,1620950400.0
2021-05-12,135.0,138.95,127.0,128.45,131.9946917955968,602652.0,5486.0,79546865.0,336695.0,55.87,11.949999999999989,-6.550000000000011,1620757800.0
2021-05-11,107.5,123.65,107.5,122.35,116.33044489854494,787393.0,5668.0,91597778.0,493900.0,62.73,16.150000000000006,14.849999999999994,1620671400.0
2021-05-10,103.0,104.0,100.0,103.05,102.55571621897188,107886.0,813.0,11064326.0,89533.0,82.99,4.0,0.0499999999999971,1620585000.0
2021-05-07,100.0,102.9,97.25,101.7,100.86839878033229,86253.0,730.0,8700202.0,68550.0,79.48,5.650000000000006,1.7000000000000028,1620345600.0
2021-05-06,101.4,102.0,98.55,99.2,99.72001406964476,56860.0,468.0,5670080.0,38483.0,67.68,3.450000000000003,-2.200000000000003,1620259200.0
2021-05-05,99.4,103.0,97.35,100.7,100.09443788976908,59330.0,622.0,5938603.0,39888.0,67.23,5.650000000000006,1.2999999999999972,1620153000.0
2021-05-04,105.9,110.0,98.0,99.4,103.17029057467296,231610.0,1611.0,23895271.0,176739.0,76.31,12.0,-6.5,1620086400.0
2021-05-03,91.5,106.1,90.1,104.2,100.82322518606,547001.0,3440.0,55150405.0,310380.0,56.74,16.0,12.7,1620000000.0
2021-04-30,87.7,93.0,85.45,90.55,91.17239199323552,126543.0,705.0,11537228.0,86723.0,68.53,7.55,2.85,1619740800.0
2021-04-29,89.5,91.85,86.75,87.25,88.30325624838959,62096.0,400.0,5483279.0,42319.0,68.15,5.1,-2.25,1619654400.0
2021-04-28,91.75,93.5,89.05,89.5,91.29831303543506,90814.0,678.0,8291165.0,58387.0,64.29,4.45,-2.25,1619568000.0
2021-04-27,87.95,91.15,86.0,90.1,88.95012862542605,107677.0,649.0,9577883.0,88119.0,81.84,5.15,2.15,1619481600.0
2021-04-26,86.0,88.75,85.25,86.5,86.79430600661667,32947.0,296.0,2859612.0,27716.0,84.12,3.5,0.5,1619395200.0
2021-04-23,83.8,86.55,83.2,85.2,85.67500833472245,47992.0,461.0,4111715.0,38903.0,81.06,3.35,1.4,1619136000.0
2021-04-22,81.15,83.5,81.05,82.25,82.18757126567844,59636.0,454.0,4901338.0,43240.0,72.51,2.45,1.1,1619049600.0
2021-04-20,85.2,85.2,82.0,82.35,83.51002983839996,33849.0,342.0,2826731.0,20903.0,61.75,3.2,-2.85,1618876800.0
2021-04-19,83.15,84.7,80.8,82.25,82.63176836250612,67243.0,658.0,5556408.0,50277.0,74.77,3.9,-0.9,1618790400.0
2021-04-16,87.0,90.8,87.0,87.95,89.2959396294419,106542.0,705.0,9513768.0,76570.0,71.87,3.8,0.95,1618531200.0
2021-04-15,82.45,89.9,80.15,88.75,86.29163648423386,114581.0,816.0,9887382.0,73412.0,64.07,9.75,6.3,1618444800.0
2021-04-13,83.0,83.9,80.35,82.45,82.53266752071949,38249.0,371.0,3156792.0,22080.0,57.73,3.55,-0.55,1618272000.0
2021-04-12,86.3,87.3,82.25,82.75,84.65053851784356,66943.0,584.0,5666761.0,51926.0,77.57,5.05,-3.55,1618185600.0
2021-04-09,87.15,89.8,86.5,88.5,88.43983395190938,56851.0,548.0,5027893.0,43473.0,76.47,3.3,1.35,1617926400.0
2021-04-08,86.9,89.75,85.5,86.45,87.29771555807058,81289.0,553.0,7096344.0,60860.0,74.87,4.25,-0.45,1617840000.0
2021-04-07,86.0,87.15,84.4,85.65,85.78258363498028,43373.0,340.0,3720648.0,27532.0,63.48,2.75,-0.35,1617753600.0
2021-04-06,88.0,88.0,85.75,86.55,86.46295169055392,18071.0,197.0,1562472.0,15239.0,84.33,2.25,-1.45,1617667200.0
2021-04-05,86.9,87.85,83.5,85.45,85.29878992364088,39419.0,379.0,3362393.0,33760.0,85.64,4.35,-1.45,1617580800.0
2021-04-01,88.85,88.85,86.0,86.7,87.05498223169866,70350.0,471.0,6124318.0,52614.0,74.79,2.85,-2.15,1617235200.0
2021-03-31,80.15,89.0,79.95,85.95,84.60232732922927,118419.0,968.0,10018523.0,87490.0,73.88,9.05,5.8,1617148800.0
2021-03-30,79.05,81.0,78.0,78.3,79.08697721647522,31514.0,316.0,2492347.0,27327.0,86.71,3.0,-0.75,1617062400.0
2021-03-26,78.65,81.35,78.5,79.0,79.03278353674105,19583.0,233.0,1547699.0,18232.0,93.1,2.85,0.35,1616716800.0
