investment,shares,entry,exit,date,close
99857.6,449,True,False,22-01-2021,222.4
121551.99999999999,449,False,True,08-03-2021,270.4
121371.80000000002,473,True,False,22-04-2021,256.6
130326.14999999995,473,False,True,12-05-2021,275.15
130221.0,477,True,False,17-05-2021,273.0
146281.79999999993,477,False,True,20-05-2021,306.45
146126.25,465,True,False,21-05-2021,314.25
142096.79999999993,465,False,True,24-05-2021,305.25
141862.05000000002,451,True,False,25-05-2021,314.55
142886.04999999993,451,False,True,27-05-2021,316.3
142817.80000000002,461,True,False,31-05-2021,309.8
