company,code,average_return_percent,simulation_result
MAHINDRA LIFESPACE DEVELOPERS LTD,532313,1.3376789828978843,"[{'investment': 99946.7, 'shares': 497, 'entry': True, 'exit': False, 'date': '20-04-2020', 'close': 201.1}, {'investment': 233643.3, 'shares': 497, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 470.0}]"
JUBILANT FOODWORKS LTD,533155,1.3075064342301044,"[{'investment': 99468.0, 'shares': 81, 'entry': True, 'exit': False, 'date': '19-03-2020', 'close': 1228.0}, {'investment': 229523.05000000002, 'shares': 81, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 2827.05}]"
PTC INDIA LTD,532524,1.2705244555215953,"[{'investment': 99985.59999999999, 'shares': 2717, 'entry': True, 'exit': False, 'date': '30-03-2020', 'close': 36.8}, {'investment': 227019.75, 'shares': 2717, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 83.55}]"
TATA CHEMICALS LTD,500770,1.1747505963807938,"[{'investment': 99413.7, 'shares': 163, 'entry': True, 'exit': False, 'date': '19-06-2019', 'close': 609.9}, {'investment': 103064.40000000001, 'shares': 163, 'entry': False, 'exit': True, 'date': '26-06-2019', 'close': 628.7}, {'investment': 103031.25, 'shares': 471, 'entry': True, 'exit': False, 'date': '03-04-2020', 'close': 218.75}, {'investment': 341319.75000000006, 'shares': 471, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 724.6}]"
TRIDENT LTD,521064,1.1646814155606144,"[{'investment': 99998.685, 'shares': 15987, 'entry': True, 'exit': False, 'date': '17-07-2019', 'close': 6.255}, {'investment': 216465.29499999998, 'shares': 15987, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 13.54}]"
CADILA HEALTHCARE LTD,532321,1.1549406655686132,"[{'investment': 99904.04999999999, 'shares': 387, 'entry': True, 'exit': False, 'date': '16-05-2019', 'close': 258.15}, {'investment': 215287.3, 'shares': 387, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 556.05}]"
AXIS BANK LTD,532215,1.1510848351679202,"[{'investment': 99736.34999999999, 'shares': 329, 'entry': True, 'exit': False, 'date': '24-03-2020', 'close': 303.15}, {'investment': 214541.34999999998, 'shares': 329, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 651.3}]"
TATA MOTORS DVR,570001,1.147959326563763,"[{'investment': 99976.8, 'shares': 1623, 'entry': True, 'exit': False, 'date': '11-09-2019', 'close': 61.6}, {'investment': 214746.10000000003, 'shares': 1623, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 132.3}]"
IRB INFRASTRUCTURE DEVELOPERS LTD,532947,1.1439235795856724,"[{'investment': 99952.35, 'shares': 2063, 'entry': True, 'exit': False, 'date': '25-03-2020', 'close': 48.45}, {'investment': 214290.19999999998, 'shares': 2063, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 103.85}]"
TIME TECHNOPLAST LTD,532856,1.1247568470374096,"[{'investment': 99988.5, 'shares': 2865, 'entry': True, 'exit': False, 'date': '21-04-2020', 'close': 34.9}, {'investment': 212451.25000000003, 'shares': 2865, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 74.15}]"
MRF LTD,500290,1.1080083313261677,"[{'investment': 57709.9, 'shares': 1, 'entry': True, 'exit': False, 'date': '03-09-2019', 'close': 57709.9}, {'investment': 121652.95000000001, 'shares': 1, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 79362.85}]"
MINDTREE LTD,532819,1.0914083459706414,"[{'investment': 99111.29999999999, 'shares': 101, 'entry': True, 'exit': False, 'date': '30-04-2019', 'close': 981.3}, {'investment': 207282.2, 'shares': 101, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 2043.5}]"
