code,company,actual,predicted,minimun,maximum
535754,ORIENT CEMENT LTD,0.6711349195976319,0.15392219565605852,0.3101908281306146,0.7249279752191339
500290,MRF LTD,0.5355649691087848,0.22045043954807617,0.36680066581887466,
542726,INDIAMART INTERMESH LTD,0.5300210143919869,0.17411669479773442,0.33248948063514017,0.5311392380863893
541578,VARROC ENGINEERING PVT LTD,0.5157427023713761,0.2738406595991572,0.3909834891228757,
521070,ALOK INDUSTRIES LTD,0.5080669008479898,0.21806280127837083,0.05930913695042125,0.6606995133855431
540611,AU SMALL FINANCE BANK LTD,0.4735350683207925,0.22409240095713523,0.3019336707522001,0.5010038736099938
500106,IFCI LTD,0.4505056749905137,0.551686216720378,0.38165066368816986,0.5619435793947152
509488,GRAPHITE INDIA LTD,0.40612399346197725,0.30172870266423907,0.34809876677501306,0.4132145763148562
539268,SYNGENE INTERNATIONAL LTD,0.3607449205181287,0.13924068653186406,0.2630985733790038,0.37939294798610734
541450,ADANI GREEN ENERGY LTD,0.33881538648459825,1.3309646270796336,0.32844417084577054,0.6868517283971979
500042,BASF INDIA LTD,0.3172637363659286,0.06392899707822434,0.23503539071413318,0.3184842778481814
517334,MOTHERSON SUMI SYSTEMS LTD,0.3131388376131858,0.1412076363012134,0.22952761503668623,0.3486191592296057
540762,TUBE INVESTMENTS OF INDIA LTD,0.2992611522119981,0.13115880322481707,0.22691595110784127,0.3343546060843009
530813,KRBL LTD,0.27669350799979003,0.27627059495765405,0.16367644576056123,0.3730119457646424
540153,ENDURANCE TECHNOLOGIES LTD,0.2503932114185124,0.45922194914745545,0.2121388693414066,0.33560746982349315
541233,LEMON TREE HOTELS LTD,0.2447328004480528,0.22597614524691567,0.2070144702853726,0.27327039310190737
542752,AFFLE INDIA LTD,0.22553874771877722,0.6391886985820562,0.20837180196728797,0.32308134107899666
539978,QUESS CORP LTD,0.22065895179106193,0.009919582417642674,0.17010081051270415,0.24041543465540482
509631,HEG LTD,0.21688600703085975,0.10609209100116494,0.14973071277349925,0.23895618354529433
540222,LAURUS LABS LTD,0.2157758129051238,0.3695172384272508,0.20055928430386452,0.2750648452250932
539448,INTERGLOBE AVIATION LTD,0.21376069202145634,0.28539700895539305,0.20890308770741456,0.23217689501015512
500294,NCC LTD,0.20303379458501525,0.6059390092571472,,0.2848371691779884
532174,ICICI BANK LTD,0.20061323276022056,0.18326906181645647,0.19049105057672333,0.20742996612807654
530007,JK TYRE  INDUSTRIES LTD,0.1979392659345229,0.2847524183242185,0.18824886655804113,0.22945586747677976
506076,GRINDWELL NORTON LTD,0.19642126710907726,0.15705972691080622,0.18092831993518113,0.2049184218874314
542651,KPIT TECHNOLOGIES LTD,0.19160243155983742,0.44023820974491695,,0.23924165123287106
532144,WELSPUN CORP LTD,0.1841505837467226,0.25566127060117094,0.17011021837135468,0.22640490824116918
532784,SOBHA LTD,0.1822029751747045,0.21233201597628681,0.1603165367701726,0.20104674154924956
500670,GUJARAT NARMADA VALLEY FERTILIZERS  CHEMICALS LTD,0.18078834658004883,0.2686554535213917,0.16651378695925773,0.20279309730838194
540115,LT TECHNOLOGY SERVICES LTD,0.1738275412739963,0.12461508332499535,0.16149433904567229,0.17887645869546875
532827,PAGE INDUSTRIES LTD,0.17346516591299033,0.2098874086516032,0.16930455713141992,0.18297229516769875
524804,AUROBINDO PHARMA LTD,0.16612245903481312,0.41517985577279387,,0.20749648622173553
540065,RBL BANK LTD,0.16605163126017697,0.18914824009829564,0.12790725990391374,0.2019889086046391
540025,ADVANCED ENZYME TECHNOLOGIES LTD,0.1659521394318819,0.17631970016648157,0.15031838220107044,0.17550324631977265
500251,TRENT LTD,0.16252153072154688,0.668530596793234,,0.2447588986984978
540376,AVENUE SUPERMARTS LTD,0.15625155095196144,0.16797998989946844,0.1476169670760624,0.1660640599077579
570001,TATA MOTORS DVR,0.1546950909345984,0.19076741751528833,0.13275744561781896,0.1760878027835785
534976,VMART RETAIL LTD,0.15107171465985492,0.1630540265827117,0.1441906457888513,0.1605855174738204
512179,SUNTECK REALTY LTD,0.1499576259447149,0.5063388657306044,0.12384621455654707,0.22226291068565307
540530,HOUSING  URBAN DEVELOPMENT CORPN LTD,0.14933404262393243,0.2034667544287475,0.11326180094748718,0.1746963725905544
532848,DELTA CORP LTD,0.14614882085893502,0.58611538784872,0.13769686010821863,0.2180504291274486
513023,NAVA BHARAT VENTURES LTD,0.14529956540634203,0.19872285841028203,0.127694222823384,0.16544381186952417
513434,TATA METALIKS LTD,0.1442675117905167,0.1655056029793412,0.13073270338179616,0.16520708218581412
505726,IFB INDUSTRIES LTD,0.14417988196864215,0.27163265206955095,0.1265316752408334,0.17594558207284944
501301,TATA INVESTMENT CORPN LTD,0.13796214788732397,0.10954481220609821,0.13404163121950696,
532843,FORTIS HEALTHCARE LTD,0.13751738163718233,0.09850144896048532,0.12733723185120935,0.14659635537977345
500266,MAHARASHTRA SCOOTERS LTD,0.13540574536920186,0.13546204129358663,0.12261844637000788,0.14515109624937525
500488,ABBOTT INDIA LTD,0.1307073381652824,0.13492979898947904,0.11144485480728317,0.13995824525600004
542812,GUJARAT FLUOROCHEMICALS LTD,0.1305966351900981,0.24171193057379958,,0.14510791888536334
540203,SHEELA FOAM LTD,0.13057973713272017,0.1607628064867645,0.1106643832046722,0.16524550941245736
534076,ORIENT REFRACTORIES LIMITED,0.13010842175876045,0.24731041325061215,0.11719069020762735,0.17218281427124568
539957,MAHANAGAR GAS LTD,0.12847899853230801,0.19423609039703746,0.12393452829474755,0.14453584447696255
