investment,shares,entry,exit,date,close
98824.0,40,True,False,19-06-2017,2470.6
96146.0,40,False,True,12-10-2017,2374.25
94297.0,35,True,False,28-02-2018,2694.2
95285.0,35,False,True,01-03-2018,2669.6
94200.15000000001,33,True,False,09-05-2018,2854.55
91985.0,33,False,True,24-05-2018,2754.55
90509.09999999999,33,True,False,06-06-2018,2742.7
90874.55000000002,33,False,True,13-06-2018,2709.05
90760.0,32,True,False,31-07-2018,2836.25
99498.55000000002,32,False,True,10-10-2018,3105.75
97162.8,28,True,False,19-12-2018,3470.1
99175.15000000002,28,False,True,16-01-2019,3458.55
96343.79999999999,29,True,False,19-03-2019,3322.2
105262.25000000003,29,False,True,28-03-2019,3532.1
