average_return_percent,simulation_result,actual_returns,predicted_returns,predicted_returns_percent,code,company
0.3494270632161708,"[{'investment': 99417.6, 'shares': 128, 'entry': True, 'exit': False, 'date': '28-10-2020', 'close': 776.7, 'predictedub': 1.670861194606337}, {'investment': 134156.8, 'shares': 128, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1043.55, 'predictedub': 1.58344746151543}]",133574.4,151242.33827742274,0.5212833369284989,541450,ADANI GREEN ENERGY LTD
0.3410068100146924,"[{'investment': 99985.09999999999, 'shares': 2257, 'entry': True, 'exit': False, 'date': '22-10-2020', 'close': 44.3, 'predictedub': 1.170163231881124}, {'investment': 134080.7, 'shares': 2257, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 59.4, 'predictedub': 1.0833874058802937}]",134065.8,117803.64980578063,0.17821205165350276,532652,KARNATAKA BANK LTD
0.30924862737232667,"[{'investment': 99717.5, 'shares': 50, 'entry': True, 'exit': False, 'date': '22-10-2020', 'close': 1994.35, 'predictedub': 1.12946940509385}, {'investment': 130554.99999999999, 'shares': 50, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 2605.45, 'predictedub': 1.0737276756639658}]",130272.49999999999,112082.63160541066,0.1240016206323931,509557,GARWARE TECHNICAL FIBRES LTD
0.29866421529971393,"[{'investment': 99862.65000000001, 'shares': 313, 'entry': True, 'exit': False, 'date': '10-11-2020', 'close': 319.05, 'predictedub': 1.1551746064387285}, {'investment': 129688.04999999999, 'shares': 313, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 413.9, 'predictedub': 1.0078470552258414}]",129550.7,115358.79741167849,0.15517460643872838,530001,GUJARAT ALKALIES  CHEMICALS LTD
0.2846351966538162,"[{'investment': 99958.65000000001, 'shares': 2089, 'entry': True, 'exit': False, 'date': '22-10-2020', 'close': 47.85, 'predictedub': 1.161019392197246}, {'investment': 128410.4, 'shares': 2089, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 61.45, 'predictedub': 1.1352107572096992}]",128369.05,121007.9961520605,0.21058053657247763,500285,SPICEJET LTD
0.28009048777974854,"[{'investment': 99969.29999999999, 'shares': 1203, 'entry': True, 'exit': False, 'date': '10-11-2020', 'close': 83.1, 'predictedub': 1.1577672452131884}, {'investment': 127969.75, 'shares': 1203, 'entry': False, 'exit': True, 'date': '11-02-2021', 'close': 106.35, 'predictedub': 1.0046503887122766}]",127939.04999999999,115741.18106689079,0.15776724521318844,541956,IRCON INTERNATIONAL LTD
0.25032010243277814,"[{'investment': 99968.00000000001, 'shares': 1420, 'entry': True, 'exit': False, 'date': '06-11-2020', 'close': 70.4, 'predictedub': 1.077822254964921}, {'investment': 124991.99999999999, 'shares': 1420, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 88.0, 'predictedub': 1.0231890271185815}]",124960.0,108668.85448753103,0.08703639652219723,534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD
0.24213645357892558,"[{'investment': 99710.09999999999, 'shares': 323, 'entry': True, 'exit': False, 'date': '22-10-2020', 'close': 308.7, 'predictedub': 1.094118128912746}, {'investment': 123853.55000000002, 'shares': 323, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 382.55, 'predictedub': 1.059106374172042}]",123563.65000000001,114372.24505442187,0.1470477419481264,500253,LIC HOUSING FINANCE LTD
0.2075194457206401,"[{'investment': 99906.3, 'shares': 234, 'entry': True, 'exit': False, 'date': '05-01-2021', 'close': 426.95, 'predictedub': 1.0842141751654242}, {'investment': 120638.79999999999, 'shares': 234, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 515.15, 'predictedub': 1.0906075110053142}]",120545.09999999999,109309.45543852313,0.09411974458590824,531162,EMAMI LTD
0.20745383229853764,"[{'investment': 99850.65000000001, 'shares': 139, 'entry': True, 'exit': False, 'date': '09-11-2020', 'close': 718.35, 'predictedub': 1.2022175898413532}, {'investment': 120565.04999999999, 'shares': 139, 'entry': False, 'exit': True, 'date': '07-12-2020', 'close': 866.3, 'predictedub': 1.0061344256708171}]",120415.7,120042.20778709253,0.20221758984135324,541154,HINDUSTAN AERONAUTICS LTD
