investment,shares,entry,exit,date,close
99939.59999999999,1564,True,False,03-05-2018,63.9
97810.40000000001,1564,False,True,04-05-2018,62.5
97755.0,1596,True,False,08-05-2018,61.25
82169.60000000002,1596,False,True,11-05-2018,51.45
82121.4,1548,True,False,15-05-2018,53.05
81705.20000000003,1548,False,True,16-05-2018,52.75
81685.0,1550,True,False,17-05-2018,52.7
80775.20000000003,1550,False,True,18-05-2018,52.1
80740.0,1468,True,False,22-05-2018,55.0
90537.40000000002,1468,False,True,31-05-2018,61.65
90485.5,1442,True,False,04-06-2018,62.75
88734.90000000002,1442,False,True,07-06-2018,61.5
