investment,shares,entry,exit,date,close
99992.0,638,True,False,14-07-2017,156.72727272727272
128118.40000000001,638,False,True,29-08-2018,200.8
128105.59999999999,688,True,False,07-09-2018,186.2
128256.00000000001,688,False,True,16-01-2019,186.4
128194.79999999999,674,True,False,17-01-2019,190.2
125357.80000000003,674,False,True,08-02-2019,185.9
125316.8,668,True,False,11-02-2019,187.6
134142.00000000003,668,False,True,22-03-2019,200.75
133953.75,675,True,False,03-04-2019,198.45
145583.25000000003,675,False,True,04-06-2019,215.4
