investment,shares,entry,exit,date,close
98557.20000000001,63,True,False,07-06-2019,1564.4
98906.94999999998,63,False,True,21-06-2019,1547.05
98203.90000000001,61,True,False,01-07-2019,1609.9
98522.64999999997,61,False,True,09-07-2019,1603.6
98472.0,60,True,False,25-07-2019,1641.2
96968.64999999997,60,False,True,06-08-2019,1615.3
95410.0,58,True,False,12-09-2019,1645.0
96617.74999999997,58,False,True,20-09-2019,1638.95
96143.45,59,True,False,24-09-2019,1629.55
238214.8,59,False,True,07-05-2021,4029.5
