investment,shares,entry,exit,date,close
99958.66666666667,610,True,False,06-06-2019,163.86666666666667
102704.3333333333,610,False,True,12-06-2019,168.29999999999995
102549.5,647,True,False,19-06-2019,158.5
111977.99999999996,647,False,True,01-07-2019,172.83333333333331
111864.0,632,True,False,15-07-2019,177.0
110524.39999999995,632,False,True,02-08-2019,174.7
110433.06666666667,608,True,False,06-08-2019,181.63333333333333
107768.13333333326,608,False,True,22-08-2019,177.09999999999997
107697.2,596,True,False,26-08-2019,180.7
127316.93333333326,596,False,True,15-11-2019,213.5
127277.55,1017,True,False,23-03-2020,125.15
102044.48333333325,1017,False,True,29-05-2020,100.3
