investment,shares,entry,exit,date,close
99857.6,449,True,False,22-01-2021,222.4
121551.99999999999,449,False,True,08-03-2021,270.4
121371.80000000002,473,True,False,22-04-2021,256.6
124744.74999999999,473,False,True,05-05-2021,263.35
124663.95000000001,477,True,False,06-05-2021,261.35
131327.34999999998,477,False,True,12-05-2021,275.15
131313.0,481,True,False,17-05-2021,273.0
147416.79999999996,481,False,True,20-05-2021,306.45
147383.25,469,True,False,21-05-2021,314.25
143195.79999999996,469,False,True,24-05-2021,305.25
143120.25,455,True,False,25-05-2021,314.55
143992.04999999996,455,False,True,27-05-2021,316.3
143747.2,464,True,False,31-05-2021,309.8
