investment,shares,entry,exit,date,close
99826.99999999999,546,True,False,17-07-2019,182.83333333333331
98762.4,546,False,True,29-07-2019,180.56666666666663
98702.25,505,True,False,29-10-2019,195.45
103660.9,505,False,True,30-10-2019,205.15
103502.25,471,True,False,02-01-2020,219.75
105733.3,471,False,True,09-01-2020,224.15
105712.6,469,True,False,10-01-2020,225.4
106671.3,469,False,True,22-01-2020,227.4
106452.65,467,True,False,30-01-2020,227.95
109730.15000000001,467,False,True,10-02-2020,234.5
109512.0,480,True,False,17-02-2020,228.15
109754.15000000001,480,False,True,24-02-2020,228.2
109653.75,855,True,False,27-03-2020,128.25
228043.40000000002,855,False,True,02-06-2021,266.6
