investment,shares,entry,exit,date,close
76001.4,3,True,False,14-06-2019,25333.8
99312.85,3,False,True,19-09-2019,25104.75
81323.70000000001,3,True,False,20-09-2019,27107.9
94392.4,3,False,True,10-12-2019,25467.75
75670.20000000001,3,True,False,11-12-2019,25223.4
99978.99999999997,3,False,True,16-12-2019,27085.6
82411.20000000001,3,True,False,19-12-2019,27470.4
100764.54999999996,3,False,True,20-12-2019,27732.25
80972.25,3,True,False,23-12-2019,26990.75
100876.44999999995,3,False,True,13-01-2020,27028.05
80431.20000000001,3,True,False,14-01-2020,26810.4
122862.84999999993,3,False,True,10-02-2020,34139.2
113670.0,3,True,False,11-02-2020,37890.0
