company,code,average_return_percent,simulation_result
GRAPHITE INDIA LTD,509488,5.458302830240994,"[{'investment': 99998.7, 'shares': 1542, 'entry': True, 'exit': False, 'date': '18-02-2016', 'close': 64.85}, {'investment': 115188.70000000001, 'shares': 1542, 'entry': False, 'exit': True, 'date': '29-08-2016', 'close': 74.7}, {'investment': 115151.40000000001, 'shares': 1596, 'entry': True, 'exit': False, 'date': '28-12-2016', 'close': 72.15}, {'investment': 1354722.0999999999, 'shares': 1596, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 848.8}]"
MINDA INDUSTRIES LTD,532539,4.495248388054423,"[{'investment': 99931.0, 'shares': 1300, 'entry': True, 'exit': False, 'date': '07-07-2016', 'close': 76.87}, {'investment': 549145.6666666666, 'shares': 1300, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 422.3666666666666}]"
GUJARAT ALKALIES  CHEMICALS LTD,530001,3.1975254803508735,"[{'investment': 99979.0, 'shares': 671, 'entry': True, 'exit': False, 'date': '17-02-2016', 'close': 149.0}, {'investment': 419664.39999999997, 'shares': 671, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 625.4}]"
SUNDRAM FASTENERS LTD,500403,2.84015093131024,"[{'investment': 99913.0, 'shares': 620, 'entry': True, 'exit': False, 'date': '20-05-2016', 'close': 161.15}, {'investment': 383681.0, 'shares': 620, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 618.7}]"
JSW STEEL LTD,500228,2.4164759267358495,"[{'investment': 99917.90000000001, 'shares': 995, 'entry': True, 'exit': False, 'date': '02-02-2016', 'close': 100.42000000000002}, {'investment': 341367.1, 'shares': 995, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 343.0}]"
ITI LTD,523610,2.3146454645464547,"[{'investment': 99990.0, 'shares': 3636, 'entry': True, 'exit': False, 'date': '03-10-2016', 'close': 27.5}, {'investment': 331431.4, 'shares': 3636, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 91.15}]"
JAMNA AUTO INDS LTD,520051,2.1335412250018897,"[{'investment': 99981.56000000001, 'shares': 3518, 'entry': True, 'exit': False, 'date': '03-05-2016', 'close': 28.42}, {'investment': 313296.33999999997, 'shares': 3518, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 89.05}]"
VGUARD INDUSTRIES LTD,532953,2.12775563133375,"[{'investment': 99940.8, 'shares': 1504, 'entry': True, 'exit': False, 'date': '12-04-2016', 'close': 66.45}, {'investment': 312590.4, 'shares': 1504, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 207.8}]"
MOTILAL OSWAL FINANCIAL SERVICES LTD,532892,2.0399288144799916,"[{'investment': 99964.15, 'shares': 341, 'entry': True, 'exit': False, 'date': '27-04-2016', 'close': 293.15}, {'investment': 303883.9, 'shares': 341, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 891.05}]"
BAJAJ FINANCE LTD,500034,1.971096147357936,"[{'investment': 99588.8, 'shares': 134, 'entry': True, 'exit': False, 'date': '10-05-2016', 'close': 743.2}, {'investment': 295887.9, 'shares': 134, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 2205.05}]"
BAJAJ ELECTRICALS LTD,500031,1.8885596930173452,"[{'investment': 99940.5, 'shares': 594, 'entry': True, 'exit': False, 'date': '12-02-2016', 'close': 168.25}, {'investment': 288684.1, 'shares': 594, 'entry': False, 'exit': True, 'date': '27-12-2017', 'close': 485.9}]"
GRINDWELL NORTON LTD,506076,1.885844309842003,"[{'investment': 99849.59999999999, 'shares': 576, 'entry': True, 'exit': False, 'date': '14-07-2016', 'close': 173.35}, {'investment': 288150.4, 'shares': 576, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 500.0}]"
HERITAGE FOODS LTD,519552,1.6492643610602205,"[{'investment': 99955.625, 'shares': 385, 'entry': True, 'exit': False, 'date': '30-03-2016', 'close': 259.625}, {'investment': 264808.875, 'shares': 385, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 687.7}]"
LAKSHMI MACHINE WORKS LTD,500252,1.5641555823020503,"[{'investment': 97209.0, 'shares': 30, 'entry': True, 'exit': False, 'date': '11-03-2016', 'close': 3240.3}, {'investment': 249259.0, 'shares': 30, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 8215.6}]"
PHOENIX MILLS LTD,503100,1.5107891723592826,"[{'investment': 99822.3, 'shares': 391, 'entry': True, 'exit': False, 'date': '25-02-2016', 'close': 255.3}, {'investment': 250632.75, 'shares': 391, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 640.55}]"
DCB BANK LTD,532772,1.5082507722594787,"[{'investment': 99966.40000000001, 'shares': 1376, 'entry': True, 'exit': False, 'date': '18-02-2016', 'close': 72.65}, {'investment': 250740.8, 'shares': 1376, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 182.2}]"
JM FINANCIAL LTD,523405,1.3594228598661862,"[{'investment': 99982.65000000001, 'shares': 1787, 'entry': True, 'exit': False, 'date': '20-07-2016', 'close': 55.95}, {'investment': 235901.34999999998, 'shares': 1787, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 132.0}]"
KRBL LTD,530813,1.3357397195493874,"[{'investment': 99810.8, 'shares': 437, 'entry': True, 'exit': False, 'date': '26-04-2016', 'close': 228.4}, {'investment': 233132.05, 'shares': 437, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 533.05}]"
COFORGE LTD,532541,1.3254489456620855,"[{'investment': 99906.3, 'shares': 234, 'entry': True, 'exit': False, 'date': '26-02-2016', 'close': 426.95}, {'investment': 232327.0, 'shares': 234, 'entry': False, 'exit': True, 'date': '20-04-2018', 'close': 992.45}]"
CHOLAMANDALAM INVESTMENT  FINANCE CO LTD,511243,1.2771684046937994,"[{'investment': 99897.75, 'shares': 145, 'entry': True, 'exit': False, 'date': '10-03-2016', 'close': 688.95}, {'investment': 227484.0, 'shares': 145, 'entry': False, 'exit': True, 'date': '08-06-2018', 'close': 1568.15}]"
