investment,shares,entry,exit,date,close
99926.3,892,True,False,01-09-2016,112.025
110235.7,892,False,True,06-01-2017,123.5
110138.25,885,True,False,09-01-2017,124.45
109350.7,885,False,True,10-01-2017,123.45
109253.25,885,True,False,11-01-2017,123.45
114550.07499999998,885,False,True,19-01-2017,129.325
114458.75,889,True,False,20-01-2017,128.75
109216.07499999998,889,False,True,30-01-2017,122.75
109120.375,905,True,False,31-01-2017,120.575
106048.57499999998,905,False,True,02-03-2017,117.075
106030.125,921,True,False,03-03-2017,115.125
109548.37499999999,921,False,True,16-03-2017,118.925
109511.1,898,True,False,17-03-2017,121.95
115879.27499999998,898,False,True,08-06-2018,129.0
