investment,shares,entry,exit,date,close
99731.45,299,True,False,17-04-2017,333.55
105157.75,299,False,True,12-05-2017,350.8
105123.25,295,True,False,17-05-2017,356.35
102724.0,295,False,True,01-06-2017,348.1
102664.9,302,True,False,02-06-2017,339.95
105260.80000000002,302,False,True,05-06-2017,348.35
105201.59999999999,303,True,False,06-06-2017,347.2
107306.05000000002,303,False,True,11-07-2017,353.95
107035.54999999999,307,True,False,13-07-2017,348.65
107735.85000000003,307,False,True,14-07-2017,350.05
107647.5,310,True,False,17-07-2017,347.25
108479.85000000003,310,False,True,22-08-2017,349.65
108463.29999999999,302,True,False,23-08-2017,359.15
106124.25000000006,302,False,True,28-08-2017,351.35
105807.54999999999,307,True,False,11-09-2017,344.65
108089.05000000008,307,False,True,13-09-2017,351.05
107980.05,309,True,False,14-09-2017,349.45
108768.85000000006,309,False,True,15-09-2017,351.65
108614.7,306,True,False,18-09-2017,354.95
107957.95000000007,306,False,True,27-09-2017,352.3
107660.25,295,True,False,29-09-2017,364.95
104565.45000000007,295,False,True,11-10-2017,353.45
104512.0,284,True,False,12-10-2017,368.0
125652.45000000007,284,False,True,08-06-2018,442.25
