security code,security name,revenue,income,expenditure,profit,eps,year,quartile
532395,AXISCADES,17.78,18.93,-25.61,-7.28,-0.36,2007,3
532395,AXISCADES,17.78,18.26,-5.34,-4.09,-0.20,2007,4
532395,AXISCADES,18.20,19.62,-6.02,-4.46,-0.23,2008,1
532395,AXISCADES,20.89,21.73,-6.12,-2.26,-0.11,2008,2
532395,AXISCADES,27.88,30.13,-7.42,3.78,0.19,2008,3
532395,AXISCADES,37.44,8.26,-9.34,9.13,0.46,2008,4
532395,AXISCADES,30.07,28.22,-10.01,-2.01,-0.10,2009,1
532395,AXISCADES,31.17,30.10,-12.03,-5.08,-0.25,2009,2
532395,AXISCADES,44.56,4.49,-12.88,4.16,0.21,2009,3
532395,AXISCADES,57.36,57.35,-17.15,7.00,0.35,2009,4
532395,AXISCADES,69.67,69.50,-17.07,11.85,0.59,2010,1
532395,AXISCADES,85.67,84.11,-20.25,20.96,1.05,2010,2
532395,AXISCADES,94.12,93.83,-24.35,16.28,0.82,2010,3
532395,AXISCADES,94.98,93.67,-26.91,9.98,0.50,2010,4
532395,AXISCADES,102.20,99.95,-31.90,15.00,0.75,2011,1
532395,AXISCADES,101.88,101.64,-28.27,10.83,0.54,2011,2
532395,AXISCADES,116.76,116.76,-42.01,16.42,0.82,2011,3
532395,AXISCADES,122.58,14.27,-43.73,26.19,1.31,2011,4
532395,AXISCADES,130.83,26.68,-65.38,22.41,1.12,2012,1
532395,AXISCADES,147.34,147.34,-44.48,22.66,1.14,2012,2
532395,AXISCADES,147.84,147.84,-47.15,16.98,0.85,2012,3
532395,AXISCADES,138.63,32.94,-35.18,22.26,1.11,2012,4
532395,AXISCADES,111.61,111.61,-26.72,12.12,0.61,2013,1
532395,AXISCADES,125.03,125.03,-28.90,16.81,0.84,2013,2
532395,AXISCADES,132.02,32.11,-28.24,21.62,1.08,2013,3
532395,AXISCADES,132.67,132.67,-26.46,22.30,1.12,2013,4
532395,AXISCADES,497.66,497.66,-122.66,66.53,3.33,2014,1
532395,AXISCADES,406.34,404.84,-96.71,15.05,0.75,2014,2
532395,AXISCADES,455.28,455.28,-128.42,16.72,0.63,2014,3
532395,AXISCADES,504.79,504.79,-138.70,36.34,1.34,2014,4
532395,AXISCADES,519.56,519.56,-125.56,45.13,1.66,2015,1
532395,AXISCADES,520.84,515.40,-119.12,54.55,2.01,2015,2
532395,AXISCADES,585.60,579.76,-134.41,45.97,1.69,2015,3
532395,AXISCADES,621.57,616.70,-157.24,82.76,3.04,2015,4
532395,AXISCADES,638.54,638.54,-134.76,79.52,2.92,2016,1
532395,AXISCADES,642.47,635.53,-107.48,53.15,1.95,2016,2
532395,AXISCADES,590.63,42.27,-112.50,32.41,,2016,3
532395,AXISCADES,578.74,31.22,-130.61,21.56,,2016,4
532395,AXISCADES,526.88,565.66,-154.95,23.02,0.61,2017,1
532395,AXISCADES,531.82,550.21,-131.38,-13.56,-0.36,2017,2
532395,AXISCADES,609.82,616.45,-156.16,-1.31,-0.03,2017,3
532395,AXISCADES,627.47,638.44,-367.61,-15.11,-0.40,2017,4
532395,AXISCADES,556.69,590.07,-174.00,-58.32,-1.70,2018,1
532395,AXISCADES,492.18,498.40,-155.44,-93.08,-2.46,2018,2
532395,AXISCADES,548.74,550.96,-141.77,108.47,2.87,2018,3
532395,AXISCADES,628.90,631.21,-152.07,5.23,0.14,2018,4
532395,AXISCADES,582.11,587.43,-153.43,-60.56,-1.60,2019,1
532395,AXISCADES,541.77,550.76,-123.34,-21.88,-0.58,2019,2
532395,AXISCADES,547.34,557.76,-129.14,-38.80,-1.03,2019,3
532395,AXISCADES,605.98,615.65,-122.63,7.25,0.19,2019,4
532395,AXISCADES,610.15,623.34,-165.93,8.60,0.23,2020,1
532395,AXISCADES,337.73,343.16,-96.71,-36.75,-0.97,2020,2
532395,AXISCADES,325.41,348.54,-105.99,-174.05,-4.61,2020,3
532395,AXISCADES,315.47,332.16,-86.53,-41.85,-1.11,2020,4
