security code,security name,revenue,income,expenditure,profit,eps,year,quartile
520086,SICAL,2334.60,2489.80,-2364.20,94.10,2.17,2007,3
520086,SICAL,1526.10,1543.20,-1450.50,102.50,0.45,2007,4
520086,SICAL,1338.60,1405.20,-1256.20,54.10,4.76,2008,1
520086,SICAL,1219.93,1237.98,-1165.86,-50.09,0.61,2008,2
520086,SICAL,1230.88,1247.86,-1171.23,-419.34,0.40,2008,3
520086,SICAL,1070.34,1068.52,-1023.59,-159.33,0.34,2008,4
520086,SICAL,1211.52,1211.30,-1137.06,683.38,2.28,2009,1
520086,SICAL,1268.29,1268.00,-35.31,-3.84,0.80,2009,2
520086,SICAL,1271.79,1264.56,-1193.33,24.37,0.88,2009,3
520086,SICAL,1500.29,1498.80,-1405.37,180.84,1.51,2009,4
520086,SICAL,1332.02,1329.89,-1259.42,62.28,0.74,2010,1
520086,SICAL,1324.28,1323.14,-1275.60,75.03,0.30,2010,2
520086,SICAL,1511.16,1510.16,-1421.02,91.56,1.26,2010,3
520086,SICAL,1232.05,1231.32,-1116.23,92.44,1.67,2010,4
520086,SICAL,1316.19,1311.58,-1729.59,-151.45,-3.83,2011,1
520086,SICAL,1377.47,1377.12,-1291.84,21.39,0.33,2011,2
520086,SICAL,1293.55,1292.97,-1198.69,18.84,0.34,2011,3
520086,SICAL,1151.10,1149.59,-1076.23,20.83,0.36,2011,4
520086,SICAL,1192.88,1191.27,-55.28,71.82,0.32,2012,1
520086,SICAL,1079.83,1079.58,-16.98,12.54,0.23,2012,2
520086,SICAL,1310.60,1310.27,-20.72,12.03,0.70,2012,3
520086,SICAL,1341.33,1340.69,-22.99,18.07,0.48,2012,4
520086,SICAL,1215.94,1215.38,-31.21,74.54,1.34,2013,1
520086,SICAL,1342.01,1341.42,-36.85,16.20,0.29,2013,2
520086,SICAL,1397.01,1396.91,-41.68,40.15,0.80,2013,3
520086,SICAL,1410.97,1410.95,-42.55,14.98,0.26,2013,4
520086,SICAL,1465.33,1465.07,-43.47,35.36,0.64,2014,1
520086,SICAL,1407.80,1407.70,-47.80,30.10,0.54,2014,2
520086,SICAL,1403.30,1402.30,-53.30,33.30,0.60,2014,3
520086,SICAL,1653.70,1653.00,-55.20,41.90,0.75,2014,4
520086,SICAL,1318.90,1318.10,-60.90,166.50,2.99,2015,1
520086,SICAL,1116.00,1114.80,-76.50,42.50,0.76,2015,2
520086,SICAL,1476.10,1474.10,-96.80,9.70,0.17,2015,3
520086,SICAL,1722.00,1721.40,-95.20,35.20,0.63,2015,4
520086,SICAL,1602.60,1601.00,2.90,97.40,1.75,2016,1
520086,SICAL,1649.80,1649.60,-72.50,101.70,1.83,2016,2
520086,SICAL,1594.70,1594.20,-78.20,99.60,1.79,2016,3
520086,SICAL,2049.70,2049.40,-81.70,120.10,2.16,2016,4
520086,SICAL,2102.80,2286.10,-81.70,134.00,2.41,2017,1
520086,SICAL,1908.10,2157.00,-47.60,116.10,2.09,2017,2
520086,SICAL,1922.00,2198.40,-101.10,68.20,1.23,2017,3
520086,SICAL,2715.60,2967.40,-136.90,55.70,1.00,2017,4
520086,SICAL,3089.80,3333.80,-146.10,46.60,0.84,2018,1
520086,SICAL,2698.20,2977.10,-137.20,51.30,0.92,2018,2
520086,SICAL,3008.20,3023.60,-159.80,73.80,1.33,2018,3
520086,SICAL,3533.40,3547.80,-105.10,79.60,1.40,2018,4
520086,SICAL,3791.70,3808.50,-120.00,100.60,1.72,2019,1
520086,SICAL,3129.00,3167.90,-107.20,64.90,1.11,2019,2
520086,SICAL,2484.80,2521.90,-128.90,-331.80,-5.67,2019,3
520086,SICAL,1423.10,1481.40,-72.30,-482.80,-8.25,2019,4
520086,SICAL,1329.60,1395.10,-187.10,-94.90,-1.62,2020,1
520086,SICAL,1040.60,1071.20,-70.60,-212.30,-3.63,2020,2
520086,SICAL,955.50,964.70,-80.90,-203.90,-3.48,2020,3
520086,SICAL,911.30,940.70,-158.70,-136.30,-2.33,2020,4
