security code,security name,revenue,income,expenditure,profit,eps,year,quartile
532722,NITCO,1408.97,1416.31,-1226.72,134.12,5.16,2007,3
532722,NITCO,1441.65,1452.74,-1260.20,132.01,,2007,4
532722,NITCO,1767.04,1777.96,-1547.41,133.15,4.14,2008,1
532722,NITCO,1544.26,1544.44,-1350.16,80.73,2.51,2008,2
532722,NITCO,1586.39,1586.40,-1396.77,97.38,3.03,2008,3
532722,NITCO,1517.38,145.94,-1371.45,70.29,2.19,2008,4
532722,NITCO,1416.18,134.68,-138.34,59.90,1.86,2009,2
532722,NITCO,810.94,-44.36,-129.89,-82.66,-2.57,2009,3
532722,NITCO,762.60,-44.43,-119.66,-89.36,-2.78,2009,4
532722,NITCO,1039.96,20.47,-145.90,25.05,0.78,2010,1
532722,NITCO,1264.69,67.13,-127.04,12.47,0.39,2010,2
532722,NITCO,1571.68,136.83,-128.54,67.76,2.11,2010,3
532722,NITCO,1654.51,147.40,-147.20,71.22,2.22,2010,4
532722,NITCO,1919.43,201.45,-191.75,111.47,3.47,2011,1
532722,NITCO,1854.89,168.99,-94.98,63.89,,2011,2
532722,NITCO,2071.97,246.77,-152.73,52.51,1.61,2011,3
532722,NITCO,2635.76,287.98,-218.53,53.34,1.64,2011,4
532722,NITCO,1836.40,1829.53,-2003.93,-724.20,-22.21,2012,1
532722,NITCO,2021.88,2017.74,-232.56,-785.67,-24.10,2012,2
532722,NITCO,2064.71,2060.42,-244.22,-529.86,-16.25,2012,3
532722,NITCO,1798.08,1796.33,-271.36,-650.00,-19.94,2012,4
532722,NITCO,1818.15,1816.24,-268.69,-347.86,-10.67,2013,1
532722,NITCO,1712.40,1708.69,-203.84,-485.46,-14.89,2013,2
532722,NITCO,2031.26,2025.47,-206.56,-493.31,-15.13,2013,3
532722,NITCO,1853.38,1846.42,-238.08,-564.23,-10.32,2013,4
532722,NITCO,1997.48,1988.09,-227.30,-569.34,-10.41,2014,1
532722,NITCO,1972.34,1962.71,-214.18,-568.98,-10.40,2014,2
532722,NITCO,2145.12,2137.12,-181.75,-564.85,-10.33,2014,3
532722,NITCO,2134.53,2126.77,-227.19,-588.23,-10.75,2014,4
532722,NITCO,1999.20,1994.60,-216.38,449.84,8.22,2015,1
532722,NITCO,1809.17,1804.19,-205.12,-177.58,-3.25,2015,2
532722,NITCO,2096.17,2084.45,-231.05,-161.69,-2.96,2015,3
532722,NITCO,1874.31,1865.82,-234.49,-135.82,-2.48,2015,4
532722,NITCO,2022.42,2005.05,-210.85,-152.57,-2.79,2016,1
532722,NITCO,1833.75,1821.23,-186.25,-58.51,-1.07,2016,2
532722,NITCO,1764.53,1750.95,-214.87,-90.00,-1.65,2016,3
532722,NITCO,1729.51,1721.14,-182.38,-94.88,-1.73,2016,4
532722,NITCO,1825.15,1829.21,-340.36,-79.84,-1.46,2017,1
532722,NITCO,1757.00,1760.04,-321.86,-91.85,-1.69,2017,2
532722,NITCO,1335.70,1336.18,-287.70,-91.33,-1.65,2017,3
532722,NITCO,1377.68,1380.36,-296.09,-81.28,-1.48,2017,4
532722,NITCO,1588.10,1594.43,-380.16,2191.42,39.17,2018,1
532722,NITCO,1227.96,1230.65,-168.03,-147.84,-1.92,2018,2
532722,NITCO,1319.14,1322.69,-180.65,-129.22,-1.88,2018,3
532722,NITCO,1661.74,1665.39,-209.67,-89.13,-1.27,2018,4
532722,NITCO,1694.82,1700.86,-243.03,-102.89,-1.43,2019,1
532722,NITCO,1390.60,1428.25,-182.01,-123.91,-1.71,2019,2
532722,NITCO,1274.46,1280.52,-175.36,-249.89,-3.58,2019,3
532722,NITCO,1145.98,1154.75,-172.09,-269.92,-3.67,2019,4
532722,NITCO,792.34,808.05,-148.96,31.81,0.43,2020,1
532722,NITCO,230.78,240.05,-58.16,-342.25,-4.68,2020,2
532722,NITCO,767.14,775.22,-142.92,-279.32,-3.88,2020,3
532722,NITCO,1065.84,1067.34,-154.72,-227.72,-3.25,2020,4
