security code,security name,revenue,income,expenditure,profit,eps,year,quartile
541161,KARDA,291.93,304.00,-6.80,42.30,3.43,2018,2
541161,KARDA,169.84,182.32,-11.64,19.12,1.55,2018,3
541161,KARDA,246.56,253.50,-2.06,32.22,2.61,2018,4
541161,KARDA,344.64,347.56,-12.41,27.33,2.19,2019,1
541161,KARDA,215.62,227.00,-4.26,27.84,2.25,2019,2
541161,KARDA,241.41,251.39,-7.34,0.96,0.06,2019,3
541161,KARDA,408.98,422.41,-42.12,49.38,4.00,2019,4
541161,KARDA,275.20,282.55,-9.39,18.19,1.46,2020,1
541161,KARDA,162.12,177.70,-3.00,17.45,1.40,2020,2
541161,KARDA,202.29,216.34,-2.81,21.03,0.34,2020,3
541161,KARDA,394.07,413.35,-4.64,37.37,0.60,2020,4
