security code,security name,revenue,income,expenditure,profit,eps,year,quartile
531471,DUKEOFS,0.23,0.23,-0.16,0.07,,2007,3
531471,DUKEOFS,,,-0.14,-0.14,,2007,4
531471,DUKEOFS,0.01,0.01,-0.14,-0.13,,2008,1
531471,DUKEOFS,4.21,4.21,-2.01,2.19,,2008,2
531471,DUKEOFS,39.90,39.90,-10.37,29.33,,2008,3
531471,DUKEOFS,13.28,3.59,-9.69,3.09,,2008,4
531471,DUKEOFS,5.75,-5.40,-11.15,-7.70,,2009,1
531471,DUKEOFS,12.84,1.69,-0.61,4.96,,2009,2
531471,DUKEOFS,12.37,5.49,-1.52,2.29,0.45,2009,3
531471,DUKEOFS,0.32,-3.68,-4.00,-3.68,-0.73,2009,4
531471,DUKEOFS,0.09,0.09,-2.68,-2.59,-0.51,2010,1
531471,DUKEOFS,0.90,-0.96,-1.86,-0.96,-0.19,2010,2
531471,DUKEOFS,0.06,0.06,-2.49,-2.43,-0.48,2010,3
531471,DUKEOFS,2.24,0.02,-2.22,0.56,0.11,2010,4
531471,DUKEOFS,21.05,14.37,-6.68,13.65,2.72,2011,1
531471,DUKEOFS,15.19,9.89,-5.30,8.91,1.77,2011,2
531471,DUKEOFS,9.43,9.36,-6.72,2.51,0.50,2011,3
531471,DUKEOFS,22.66,11.15,-11.51,11.42,2.27,2011,4
531471,DUKEOFS,7.57,7.57,-6.77,0.34,0.07,2012,2
531471,DUKEOFS,12.96,12.89,-6.53,6.54,1.33,2012,3
531471,DUKEOFS,13.94,13.94,-8.20,5.90,1.20,2012,4
531471,DUKEOFS,22.04,22.04,-16.10,6.68,1.35,2013,1
531471,DUKEOFS,14.60,6.72,-7.89,9.99,2.03,2013,2
531471,DUKEOFS,12.93,5.67,-7.26,5.86,1.19,2013,3
531471,DUKEOFS,16.88,16.88,-14.02,4.17,0.85,2013,4
531471,DUKEOFS,21.23,20.84,-12.18,7.83,1.59,2014,1
531471,DUKEOFS,22.91,22.91,-11.60,11.31,2.29,2014,2
531471,DUKEOFS,8.92,8.92,-11.69,-3.18,-0.64,2014,3
531471,DUKEOFS,17.78,17.78,-18.96,0.67,0.14,2014,4
531471,DUKEOFS,43.48,43.48,-12.23,33.45,6.79,2015,1
531471,DUKEOFS,24.05,24.05,-11.76,12.65,2.57,2015,2
531471,DUKEOFS,0.49,0.49,-8.75,-7.95,-1.61,2015,3
531471,DUKEOFS,23.52,23.52,-12.82,10.78,2.19,2015,4
531471,DUKEOFS,47.72,47.25,-25.08,22.69,4.60,2016,1
531471,DUKEOFS,13.31,13.39,-9.75,4.28,0.87,2016,2
531471,DUKEOFS,0.72,0.75,-8.59,-7.80,-1.58,2016,3
531471,DUKEOFS,24.91,24.91,-8.52,16.89,3.43,2016,4
531471,DUKEOFS,28.61,28.54,-17.27,0.45,0.09,2017,1
531471,DUKEOFS,19.08,19.23,-2.09,0.68,0.14,2017,2
531471,DUKEOFS,2.64,2.66,-4.39,-11.33,-2.30,2017,3
531471,DUKEOFS,33.01,33.03,-13.09,12.22,2.48,2017,4
531471,DUKEOFS,36.13,36.67,-13.31,4.96,1.01,2018,1
531471,DUKEOFS,23.82,23.82,-11.64,1.76,0.36,2018,2
531471,DUKEOFS,5.93,8.03,-9.90,-12.43,-2.52,2018,3
531471,DUKEOFS,31.14,31.24,-9.50,10.06,0.10,2018,4
531471,DUKEOFS,31.62,30.07,-12.18,7.66,0.08,2019,1
531471,DUKEOFS,15.78,15.98,-4.28,1.02,0.21,2019,2
531471,DUKEOFS,3.29,3.34,-4.54,-11.32,-1.15,2019,3
531471,DUKEOFS,18.15,18.59,-32.73,-26.82,-0.27,2019,4
531471,DUKEOFS,5.34,6.39,-0.95,-1.55,-0.02,2020,1
531471,DUKEOFS,4.26,4.90,-3.81,-5.36,-0.54,2020,2
531471,DUKEOFS,4.31,4.67,-3.93,-5.56,-0.56,2020,3
531471,DUKEOFS,4.34,5.00,-2.78,-4.10,-0.42,2020,4
