security code,security name,revenue,income,expenditure,profit,eps,year,quartile
530601,JAGSONFI,7.97,8.05,-0.20,6.60,1.20,2007,3
530601,JAGSONFI,5.55,5.57,-0.18,4.73,0.86,2007,4
530601,JAGSONFI,-9.22,-9.20,-0.31,-8.30,,2008,1
530601,JAGSONFI,-1.64,-1.63,-0.26,-1.89,,2008,2
530601,JAGSONFI,-1.38,-1.36,-0.20,-1.56,,2008,3
530601,JAGSONFI,-3.23,-3.36,-0.13,-3.35,,2008,4
530601,JAGSONFI,2.33,2.17,-0.15,2.25,0.41,2009,1
530601,JAGSONFI,6.22,5.99,-0.23,6.02,1.09,2009,2
530601,JAGSONFI,-3.83,-4.11,-0.28,-4.06,,2009,3
530601,JAGSONFI,-0.78,-1.01,-0.23,-0.97,,2009,4
530601,JAGSONFI,-0.30,-0.59,-0.29,-0.58,,2010,1
530601,JAGSONFI,-0.33,-0.62,-0.28,-0.61,,2010,2
530601,JAGSONFI,-0.36,-0.63,-0.26,-0.57,,2010,3
530601,JAGSONFI,0.81,0.56,-0.25,0.65,0.12,2010,4
530601,JAGSONFI,0.58,0.22,-0.36,0.29,0.05,2011,1
530601,JAGSONFI,-1.08,-1.40,-0.32,-1.40,,2011,2
530601,JAGSONFI,-1.19,-1.47,-0.29,-1.46,,2011,3
530601,JAGSONFI,-1.28,-1.28,-1.20,-2.39,,2011,4
530601,JAGSONFI,2.04,1.67,-0.38,1.68,0.30,2012,1
530601,JAGSONFI,-0.71,-1.04,-0.33,-1.03,,2012,2
530601,JAGSONFI,1.30,1.30,-0.28,1.09,0.20,2012,3
530601,JAGSONFI,0.07,-0.17,-0.24,-0.14,,2012,4
530601,JAGSONFI,-0.18,-0.18,-0.39,-0.53,-0.10,2013,1
530601,JAGSONFI,0.21,0.21,-0.32,-0.10,-0.02,2013,2
530601,JAGSONFI,0.98,0.98,-0.30,0.75,0.14,2013,3
530601,JAGSONFI,1.59,1.59,-0.24,1.43,0.26,2013,4
530601,JAGSONFI,-1.76,-1.76,-0.56,-2.30,-0.42,2014,1
530601,JAGSONFI,-2.09,-2.09,-0.43,-2.50,-0.45,2014,2
530601,JAGSONFI,-0.64,-0.64,-0.34,-0.95,-0.17,2014,3
530601,JAGSONFI,-0.45,-0.45,-0.24,-0.63,-0.11,2014,4
530601,JAGSONFI,3.24,3.24,-0.32,2.96,0.53,2015,1
530601,JAGSONFI,-1.55,-1.55,-0.48,-2.01,-0.36,2015,2
530601,JAGSONFI,-5.24,-5.24,-0.46,-5.66,-1.03,2015,3
530601,JAGSONFI,2.16,2.16,-0.32,1.85,0.34,2015,4
530601,JAGSONFI,3.37,3.37,-0.35,3.05,0.55,2016,1
530601,JAGSONFI,-2.38,-2.38,-0.44,-2.82,-0.51,2016,2
530601,JAGSONFI,0.06,0.06,-0.40,-0.32,-0.06,2016,3
530601,JAGSONFI,-1.21,-1.21,-0.21,-1.42,-0.26,2016,4
530601,JAGSONFI,4.65,4.65,-0.32,4.33,0.78,2017,1
530601,JAGSONFI,-3.18,-3.18,-0.39,-3.65,-0.66,2017,2
530601,JAGSONFI,-1.46,-1.46,-0.14,-1.68,-0.30,2017,3
530601,JAGSONFI,1.92,1.92,-0.09,1.74,0.32,2017,4
530601,JAGSONFI,0.51,0.52,-0.11,0.28,0.05,2018,1
530601,JAGSONFI,-0.99,-0.99,-0.37,-1.44,-0.26,2018,2
530601,JAGSONFI,-0.08,-0.07,-0.33,-0.48,-0.09,2018,3
530601,JAGSONFI,4.34,4.38,-0.04,4.18,0.76,2018,4
530601,JAGSONFI,-0.34,-0.25,-0.11,-0.81,-0.15,2019,1
530601,JAGSONFI,2.46,2.50,-0.07,1.96,0.36,2019,2
530601,JAGSONFI,-2.66,-2.61,-0.19,-2.88,-0.52,2019,3
530601,JAGSONFI,1.17,1.20,-0.08,1.04,0.19,2019,4
530601,JAGSONFI,-6.48,-6.47,-0.09,-6.69,-1.22,2020,1
530601,JAGSONFI,1.76,1.76,-0.45,1.23,0.22,2020,2
530601,JAGSONFI,0.66,0.67,0.00,0.46,0.08,2020,3
530601,JAGSONFI,0.03,0.03,-0.06,-0.11,-0.02,2020,4
