security code,security name,revenue,income,expenditure,profit,eps,year,quartile
531153,DILIGENT,,,-0.04,-0.04,,2007,3
531153,DILIGENT,0.01,0.01,-0.04,-0.03,,2007,4
531153,DILIGENT,0.51,0.55,-0.11,0.44,,2008,1
531153,DILIGENT,0.02,0.03,-0.13,-0.10,,2008,2
531153,DILIGENT,,0.01,-0.02,-0.02,,2008,3
531153,DILIGENT,,-0.01,-0.01,-0.01,,2008,4
531153,DILIGENT,0.15,0.05,-0.09,0.09,,2009,1
531153,DILIGENT,0.01,-0.06,-0.07,-0.05,,2009,2
531153,DILIGENT,,-0.01,-0.01,0.03,,2009,3
531153,DILIGENT,,0.00,,0.01,,2009,4
531153,DILIGENT,,-0.03,-0.03,-0.01,,2010,1
531153,DILIGENT,,-0.03,-0.03,-0.03,,2010,2
531153,DILIGENT,0.19,0.18,-0.01,0.22,,2010,3
531153,DILIGENT,0.01,-0.09,-0.10,-0.08,,2010,4
531153,DILIGENT,0.32,-1.31,-1.63,-1.30,,2011,1
531153,DILIGENT,0.05,-0.04,-0.09,-0.04,,2011,2
531153,DILIGENT,0.10,0.10,-0.25,-0.15,,2011,3
531153,DILIGENT,0.06,-1.35,-1.41,-1.32,-0.04,2011,4
531153,DILIGENT,0.04,0.04,-0.20,-0.16,-0.05,2012,1
531153,DILIGENT,0.08,0.08,-0.15,-0.08,-0.03,2012,2
531153,DILIGENT,0.01,-0.02,-0.03,-0.02,-0.01,2012,3
531153,DILIGENT,0.07,0.07,-0.10,-0.04,-0.01,2012,4
531153,DILIGENT,0.03,-0.21,-0.18,-0.21,-0.05,2013,1
531153,DILIGENT,0.04,0.04,-0.43,-0.40,-0.10,2013,2
531153,DILIGENT,0.03,0.03,-0.10,-0.08,-0.02,2013,3
531153,DILIGENT,23.18,4.37,-4.95,-3.29,-0.29,2013,4
531153,DILIGENT,198.77,1.50,-0.41,12.09,1.06,2014,1
531153,DILIGENT,177.85,177.85,-3.21,2.14,0.19,2014,2
531153,DILIGENT,13.18,13.18,-2.72,-9.14,-0.80,2014,3
531153,DILIGENT,13.97,13.97,-1.76,-12.96,-1.13,2014,4
531153,DILIGENT,635.12,633.80,-14.29,18.64,1.63,2015,1
531153,DILIGENT,114.41,114.13,-1.38,0.31,0.03,2015,2
531153,DILIGENT,14.44,14.72,-2.81,-6.54,-0.57,2015,3
531153,DILIGENT,18.82,18.82,-3.72,-1.89,-0.08,2015,4
531153,DILIGENT,308.85,308.85,-0.85,8.58,0.38,2016,1
531153,DILIGENT,31.80,31.77,-1.69,-7.65,-0.67,2016,2
531153,DILIGENT,76.11,76.09,-2.33,10.15,0.89,2016,3
531153,DILIGENT,127.48,126.79,-2.49,2.41,0.11,2016,4
531153,DILIGENT,373.13,373.55,0.18,-5.12,-0.22,2017,1
531153,DILIGENT,7.92,7.95,-1.88,-9.15,-0.40,2017,2
531153,DILIGENT,283.64,283.72,-1.82,7.37,0.64,2017,3
531153,DILIGENT,346.30,346.30,-2.55,2.79,0.24,2017,4
531153,DILIGENT,146.66,146.78,-1.05,5.42,0.24,2018,1
531153,DILIGENT,171.05,172.34,-2.35,1.87,0.08,2018,2
531153,DILIGENT,100.16,106.75,-3.24,0.32,0.01,2018,3
531153,DILIGENT,299.69,305.46,-304.32,0.92,0.04,2018,4
531153,DILIGENT,207.64,212.66,-4.44,1.00,0.04,2019,1
531153,DILIGENT,222.04,223.20,-1.65,1.37,0.06,2019,2
531153,DILIGENT,187.84,191.55,-2.34,0.77,0.03,2019,3
531153,DILIGENT,236.23,239.30,-1.87,3.02,0.13,2019,4
531153,DILIGENT,167.32,171.46,-3.37,-1.65,-0.07,2020,1
531153,DILIGENT,95.35,95.37,-4.13,1.54,0.07,2020,2
531153,DILIGENT,264.56,264.58,-7.77,11.37,0.50,2020,3
531153,DILIGENT,243.87,243.89,-4.72,-5.69,-0.25,2020,4
