Date,Open,High,Low,Close,% Return,% YTD
2021-05-17,19975.63,20197.37,19923.59,20180.71,1.6034453331776,-71.04090985896929
2021-05-14,20073.75,20073.75,19759.99,19862.23,-0.5295978862158268,-70.57656667957224
2021-05-12,20170.61,20170.61,19902.47,19967.98,-0.8174324663294041,-70.73239256048934
2021-05-11,20022.2,20183.78,19971.99,20132.55,-0.20427525657090717,-70.97163548581774
2021-05-10,20126.17,20198.65,20102.2,20173.76,0.8667322319892312,-71.03093325190744
2021-05-07,20006.58,20057.34,19944.66,20000.41,0.48513227340438725,-70.77984901309523
2021-05-06,19866.36,19922.77,19758.27,19903.85,0.7012816439365022,-70.63809263032026
2021-05-05,19723.93,19787.6,19618.29,19765.24,0.9131340691163725,-70.43218296362706
2021-05-04,19830.76,19880.72,19543.88,19586.39,-0.7538322466096092,-70.16218915277395
2021-05-03,19551.3,19774.39,19444.49,19735.16,0.23179843896652397,-70.38711619262271
2021-04-30,19829.82,19941.8,19655.4,19689.52,-1.2986388003557225,-70.31847399022423
2021-04-29,20059.76,20150.78,19854.48,19948.58,0.1371901863588043,-70.70392980352487
2021-04-28,19757.94,19948.61,19757.71,19921.25,1.233991346866281,-70.6637384702265
2021-04-27,19493.18,19697.55,19482.46,19678.42,1.1896913980827817,-70.30173154145504
2021-04-26,19393.18,19520.11,19393.0,19447.06,0.9141767712856019,-69.9484137962242
2021-04-23,19266.0,19419.01,19174.05,19270.89,-0.21049590037874877,-69.67368917574642
2021-04-22,19109.86,19336.35,19026.92,19311.54,0.636130127616874,-69.73752481676759
2021-04-20,19424.04,19476.9,19073.91,19189.47,-0.18854950555817762,-69.54501609476448
2021-04-19,19212.24,19253.8,18982.96,19225.72,-1.8096480856790387,-69.60243881633562
2021-04-16,19546.37,19675.08,19478.47,19580.05,0.4946190863327704,-70.15252770038892
2021-04-15,19375.09,19508.14,19193.72,19483.68,0.41601899916301477,-70.00489640560717
2021-04-13,19178.88,19424.5,19119.52,19402.96,1.3743533799270624,-69.88011107583586
2021-04-12,19668.59,19671.39,19070.65,19139.91,-4.032027581144471,-69.46615736437633
2021-04-09,19986.1,20046.85,19886.2,19944.06,-0.10768543431789457,-70.69729032102792
2021-04-08,19966.26,20096.33,19902.83,19965.56,0.4860337641722001,-70.72884507121263
2021-04-07,19716.61,19917.32,19665.03,19868.99,0.9976246306435455,-70.58657737509557
2021-04-06,19680.05,19773.37,19514.37,19672.73,0.47313367813937024,-70.29314182627424
2021-04-05,19868.97,19870.26,19345.79,19580.09,-1.4434591072771452,-70.15258867553725
2021-04-01,19745.54,19883.6,19639.08,19866.86,1.351447177449172,-70.58342385258666
2021-03-31,19713.14,19713.44,19579.89,19601.95,-0.6014031048829693,-70.18587436454027
2021-03-30,19475.35,19738.36,19475.35,19720.55,1.9413812051595647,-70.36517744180564
2021-03-26,19287.64,19410.33,19223.3,19344.99,1.2769435026710463,-69.78985256647844
2021-03-25,19442.86,19454.18,19009.22,19101.08,-1.6584290951027536,-69.40408605167876
2021-03-24,19693.91,19725.4,19401.03,19423.2,-1.7494517945981114,-69.91149759051032
2021-03-23,19708.96,19838.31,19648.7,19769.05,0.62024136784955,-70.43788143588084
2021-03-22,19627.76,19677.31,19484.15,19647.19,0.1778985636564867,-70.25452494733344
2021-03-19,19251.63,19651.84,19026.48,19612.3,1.1801243838202913,-70.20160817446195
2021-03-18,19756.4,19820.04,19268.12,19383.55,-1.1853546607449972,-69.84995008654245
2021-03-17,19944.61,19967.16,19588.07,19616.07,-1.5326734064875058,-70.20733510840856
2021-03-16,19996.52,20058.83,19884.33,19921.4,0.03047903298614152,-70.66395936028593
2021-03-15,20074.83,20090.96,19684.1,19915.33,-0.6555676107099617,-70.65501801878253
2021-03-12,20342.41,20390.36,19951.11,20046.75,-0.764018179217063,-70.84739421602005
2021-03-10,20223.33,20244.23,20099.82,20201.09,0.6086995931543937,-71.07012542392515
2021-03-09,20099.31,20177.49,19883.09,20078.87,0.45356737796931057,-70.8940293950805
2021-03-08,20074.79,20182.73,19952.04,19988.21,0.19313592999987694,-70.76201420737524
2021-03-05,20092.52,20196.36,19851.95,19949.68,-1.1646900113303271,-70.70554515160143
2021-03-04,20098.95,20313.63,20027.06,20184.77,-0.5960366003801787,-71.0467347410944
2021-03-03,20071.6,20329.49,20053.21,20305.8,1.966794431893315,-71.21930679904264
2021-03-02,19829.6,19959.83,19704.1,19914.13,1.2246609600878422,-70.6532497277059
2021-03-01,19606.43,19713.26,19521.15,19673.2,1.5587533070916981,-70.29385153406665
2021-02-26,19713.43,19801.1,19292.49,19371.25,-3.0984485246852933,-69.83080596244436
2021-02-25,19968.87,20064.07,19936.5,19990.65,0.8979575767914971,-70.76558291001042
2021-02-24,19563.8,19836.7,19474.02,19812.74,1.5785825466909875,-70.50307024672004
2021-02-23,19520.33,19652.11,19388.7,19504.84,0.44261026248153534,-70.03743686182506
2021-02-22,19801.21,19834.38,19364.52,19418.89,-1.8130731584980353,-69.904819482473
2021-02-19,19972.75,20024.22,19655.21,19777.47,-1.0404590148513249,-70.45046712243781
2021-02-18,20126.09,20128.22,19937.87,19985.41,-0.23735883264379698,-70.75791790110885
2021-02-17,20092.65,20145.48,19976.26,20032.96,-0.37140111917659535,-70.82732656581953
2021-02-16,20183.96,20230.6,20004.66,20107.64,0.11202311758842232,-70.93567420144781
2021-02-15,20022.31,20112.16,20008.4,20085.14,0.9895752936520896,-70.90311543758222
